gene1,strand1,chrom1,gene2,strand2,chrom2,RNA_split_read_count,variant_count,DNA_split_reads_at_variants,variant_names,transcript_length,score
BPTF,antisense,17,hsa-mir-6080,antisense,17,2,0,,,3202377,0.00
BPTF,antisense,17,hsa-mir-6080,sense,17,2,0,,,3234713,0.00
BPTF,sense,17,hsa-mir-6080,antisense,17,2,0,,,3043523,0.00
BPTF,sense,17,hsa-mir-6080,sense,17,2,0,,,3075859,0.00
LINC00536,antisense,8,PVT1,antisense,8,40,2,150|157,12938|10322,368182,65.00
LINC00536,antisense,8,PVT1,antisense,8,40,2,127|157,12939|10322,368206,62.00
LINC00536,antisense,8,PVT1,antisense,8,40,2,150|25,12938|10321,368140,52.00
LINC00536,antisense,8,PVT1,antisense,8,40,2,127|25,12939|10321,368164,52.00
LINC00536,antisense,8,PVT1,antisense,8,40,2,150|13,12938|10323,367997,51.00
LINC00536,antisense,8,PVT1,antisense,8,40,2,127|13,12939|10323,368021,51.00
LINC00536,antisense,8,PVT1,antisense,8,40,3,150|157|40,12938|10322|8881,353743,24.00
LINC00536,antisense,8,PVT1,antisense,8,40,3,127|157|40,12939|10322|8881,353767,24.00
LINC00536,antisense,8,PVT1,antisense,8,40,3,150|25|40,12938|10321|8881,353701,22.00
LINC00536,antisense,8,PVT1,antisense,8,40,3,127|25|40,12939|10321|8881,353725,22.00
LINC00536,antisense,8,PVT1,antisense,8,40,3,150|13|40,12938|10323|8881,353558,21.00
LINC00536,antisense,8,PVT1,antisense,8,40,3,127|13|40,12939|10323|8881,353582,21.00
MLH1,antisense,3,SUMF1,antisense,3,12,1,46,3670,221554,104.00
MLH1,sense,3,SUMF1,antisense,3,12,1,46,3670,294111,74.00
MLH1,antisense,3,SUMF1,antisense,3,12,4,15|45|24|46,3641|3696|3643|3670,20079380,21.00
MLH1,antisense,3,SUMF1,antisense,3,12,4,24|45|15|46,3643|3696|3641|3670,20079380,21.00
MLH1,antisense,3,SUMF1,sense,3,12,1,19,3700,11156881,21.00
MLH1,antisense,3,SUMF1,sense,3,12,2,15|19,3641|3700,10367792,21.00
MLH1,sense,3,SUMF1,antisense,3,12,4,15|45|24|46,3641|3696|3643|3670,20006823,21.00
MLH1,sense,3,SUMF1,antisense,3,12,4,24|45|15|46,3643|3696|3641|3670,20006823,21.00
MLH1,sense,3,SUMF1,sense,3,12,1,19,3700,11084324,21.00
MLH1,sense,3,SUMF1,sense,3,12,2,15|19,3641|3700,10295235,21.00
STAU1,sense,20,TOX2,antisense,20,6,1,35,25020,70550,73.00
LINC00536,sense,8,MIR1207,sense,8,3,1,245,10324,323201,120.00
LINC00536,sense,8,MIR1207,sense,8,3,1,157,10322,322943,115.00
LINC00536,sense,8,MIR1207,sense,8,3,1,25,10321,322901,102.00
LINC00536,sense,8,MIR1207,sense,8,3,1,13,10323,322758,101.00
LINC00536,sense,8,MIR1207,antisense,8,3,1,245,10324,323287,90.00
LINC00536,sense,8,MIR1207,antisense,8,3,1,157,10322,323029,85.00
LINC00536,sense,8,MIR1207,antisense,8,3,1,25,10321,322987,72.00
LINC00536,sense,8,MIR1207,antisense,8,3,1,13,10323,322844,71.00
LINC00536,antisense,8,MIR1207,antisense,8,3,2,150|157,12938|10322,113563,65.00
LINC00536,antisense,8,MIR1207,antisense,8,3,2,150|245,12938|10324,113821,65.00
LINC00536,antisense,8,MIR1207,antisense,8,3,2,136|157,12936|10322,114121,63.00
LINC00536,antisense,8,MIR1207,antisense,8,3,2,136|245,12936|10324,114379,63.00
LINC00536,antisense,8,MIR1207,antisense,8,3,2,127|157,12939|10322,113587,62.00
LINC00536,antisense,8,MIR1207,antisense,8,3,2,127|245,12939|10324,113845,62.00
LINC00536,antisense,8,MIR1207,sense,8,3,2,150|245,12938|10324,113735,55.00
LINC00536,antisense,8,MIR1207,sense,8,3,2,150|157,12938|10322,113477,55.00
LINC00536,antisense,8,MIR1207,antisense,8,3,2,41|157,12937|10322,113929,54.00
LINC00536,antisense,8,MIR1207,antisense,8,3,2,41|245,12937|10324,114187,54.00
LINC00536,antisense,8,MIR1207,sense,8,3,2,136|157,12936|10322,114035,53.00
LINC00536,antisense,8,MIR1207,sense,8,3,2,136|245,12936|10324,114293,53.00
LINC00536,antisense,8,MIR1207,antisense,8,3,2,127|25,12939|10321,113545,52.00
LINC00536,antisense,8,MIR1207,antisense,8,3,2,150|25,12938|10321,113521,52.00
