chromosome,start,end,coverage,segmented_coverage
20,0,10000,0,0
20,10000,20000,0,0
20,20000,30000,0,0
20,30000,40000,0,0
20,40000,50000,0,0
20,50000,60000,0,0
20,60000,70000,59,60
20,70000,80000,58,60
20,80000,90000,64,60
20,90000,100000,64,60
20,100000,110000,66,60
20,110000,120000,64,60
20,120000,130000,62,60
20,130000,140000,58,60
20,140000,150000,57,60
20,150000,160000,56,60
20,160000,170000,63,60
20,170000,180000,57,60
20,180000,190000,64,60
20,190000,200000,58,60
20,200000,210000,59,60
20,210000,220000,57,60
20,220000,230000,57,60
20,230000,240000,57,60
20,240000,250000,56,53
20,250000,260000,48,53
20,260000,270000,56,53
20,270000,280000,48,53
20,280000,290000,55,53
20,290000,300000,53,53
20,300000,310000,43,53
20,310000,320000,58,53
20,320000,330000,47,53
20,330000,340000,54,53
20,340000,350000,55,53
20,350000,360000,54,53
20,360000,370000,50,53
20,370000,380000,52,53
20,380000,390000,50,53
20,390000,400000,56,53
20,400000,410000,51,53
20,410000,420000,50,53
20,420000,430000,55,53
20,430000,440000,56,53
20,440000,450000,56,53
20,450000,460000,55,53
20,460000,470000,55,53
20,470000,480000,56,53
20,480000,490000,56,53
20,490000,500000,59,53
20,500000,510000,57,53
20,510000,520000,57,53
20,520000,530000,56,53
20,530000,540000,56,53
20,540000,550000,54,53
20,550000,560000,51,53
20,560000,570000,59,53
20,570000,580000,49,53
20,580000,590000,55,53
20,590000,600000,52,53
20,600000,610000,53,53
20,610000,620000,51,53
20,620000,630000,51,53
20,630000,640000,52,53
20,640000,650000,46,53
20,650000,660000,48,53
20,660000,670000,51,53
20,670000,680000,54,53
20,680000,690000,49,53
20,690000,700000,55,53
20,700000,710000,50,53
20,710000,720000,50,53
20,720000,730000,54,53
20,730000,740000,52,53
20,740000,750000,53,53
20,750000,760000,47,53
20,760000,770000,56,53
20,770000,780000,55,53
20,780000,790000,55,53
20,790000,800000,51,53
20,800000,810000,55,53
20,810000,820000,53,53
20,820000,830000,47,53
20,830000,840000,52,53
20,840000,850000,54,53
20,850000,860000,55,53
20,860000,870000,54,53
20,870000,880000,51,53
20,880000,890000,53,53
20,890000,900000,48,53
20,900000,910000,55,53
20,910000,920000,56,53
20,920000,930000,49,53
20,930000,940000,51,53
20,940000,950000,50,53
20,950000,960000,54,53
20,960000,970000,52,53
20,970000,980000,52,53
20,980000,990000,52,53
20,990000,1000000,52,53
20,1000000,1010000,57,53
20,1010000,1020000,51,53
20,1020000,1030000,53,53
20,1030000,1040000,53,53
20,1040000,1050000,57,53
20,1050000,1060000,55,53
20,1060000,1070000,54,53
20,1070000,1080000,53,53
20,1080000,1090000,54,53
20,1090000,1100000,52,53
20,1100000,1110000,55,53
20,1110000,1120000,54,53
20,1120000,1130000,56,53
20,1130000,1140000,59,53
20,1140000,1150000,54,53
20,1150000,1160000,52,53
20,1160000,1170000,47,53
20,1170000,1180000,55,53
20,1180000,1190000,54,53
20,1190000,1200000,57,53
20,1200000,1210000,53,53
20,1210000,1220000,62,58
20,1220000,1230000,58,58
20,1230000,1240000,68,58
20,1240000,1250000,58,58
20,1250000,1260000,56,58
20,1260000,1270000,52,58
20,1270000,1280000,53,58
20,1280000,1290000,58,58
20,1290000,1300000,61,58
20,1300000,1310000,62,68
20,1310000,1320000,66,68
20,1320000,1330000,76,68
20,1330000,1340000,66,68
20,1340000,1350000,69,68
20,1350000,1360000,70,68
20,1360000,1370000,71,68
20,1370000,1380000,60,68
20,1380000,1390000,64,68
20,1390000,1400000,68,68
20,1400000,1410000,72,68
20,1410000,1420000,71,68
20,1420000,1430000,65,68
20,1430000,1440000,55,55
20,1440000,1450000,51,55
20,1450000,1460000,50,55
20,1460000,1470000,60,55
20,1470000,1480000,54,55
20,1480000,1490000,54,55
20,1490000,1500000,54,55
20,1500000,1510000,59,55
20,1510000,1520000,56,55
20,1520000,1530000,59,55
20,1530000,1540000,57,55
20,1540000,1550000,55,55
20,1550000,1560000,43,21
20,1560000,1570000,6,21
20,1570000,1580000,0,21
20,1580000,1590000,8,21
20,1590000,1600000,38,21
20,1600000,1610000,54,53
20,1610000,1620000,52,53
20,1620000,1630000,55,53
20,1630000,1640000,56,53
20,1640000,1650000,55,53
20,1650000,1660000,58,53
20,1660000,1670000,55,53
20,1670000,1680000,52,53
20,1680000,1690000,56,53
20,1690000,1700000,57,53
20,1700000,1710000,54,53
20,1710000,1720000,48,53
20,1720000,1730000,59,53
20,1730000,1740000,61,53
20,1740000,1750000,59,53
20,1750000,1760000,53,53
20,1760000,1770000,51,53
20,1770000,1780000,58,53
20,1780000,1790000,50,53
20,1790000,1800000,50,53
20,1800000,1810000,51,53
20,1810000,1820000,52,53
20,1820000,1830000,54,53
20,1830000,1840000,51,53
20,1840000,1850000,53,53
20,1850000,1860000,54,53
20,1860000,1870000,52,53
20,1870000,1880000,44,53
20,1880000,1890000,56,53
20,1890000,1900000,50,53
20,1900000,1910000,52,53
20,1910000,1920000,49,53
20,1920000,1930000,52,53
20,1930000,1940000,52,53
20,1940000,1950000,49,53
20,1950000,1960000,55,53
20,1960000,1970000,50,53
20,1970000,1980000,50,53
20,1980000,1990000,51,53
20,1990000,2000000,56,53
20,2000000,2010000,55,53
20,2010000,2020000,56,53
20,2020000,2030000,52,53
20,2030000,2040000,52,53
20,2040000,2050000,55,53
20,2050000,2060000,54,53
20,2060000,2070000,54,53
20,2070000,2080000,53,53
20,2080000,2090000,49,53
20,2090000,2100000,52,53
20,2100000,2110000,52,53
20,2110000,2120000,53,53
20,2120000,2130000,52,53
20,2130000,2140000,53,53
20,2140000,2150000,50,53
20,2150000,2160000,47,53
20,2160000,2170000,59,53
20,2170000,2180000,49,53
20,2180000,2190000,50,53
20,2190000,2200000,52,53
20,2200000,2210000,52,53
20,2210000,2220000,61,53
20,2220000,2230000,50,53
20,2230000,2240000,53,53
20,2240000,2250000,55,53
20,2250000,2260000,60,53
20,2260000,2270000,54,53
20,2270000,2280000,52,53
20,2280000,2290000,50,53
20,2290000,2300000,51,53
20,2300000,2310000,52,53
20,2310000,2320000,53,53
20,2320000,2330000,48,53
20,2330000,2340000,56,53
20,2340000,2350000,54,53
20,2350000,2360000,53,53
20,2360000,2370000,50,53
20,2370000,2380000,52,53
20,2380000,2390000,51,53
20,2390000,2400000,54,53
20,2400000,2410000,56,53
20,2410000,2420000,51,53
20,2420000,2430000,59,53
20,2430000,2440000,56,53
20,2440000,2450000,56,53
20,2450000,2460000,53,53
20,2460000,2470000,57,53
20,2470000,2480000,54,53
20,2480000,2490000,54,53
20,2490000,2500000,56,53
20,2500000,2510000,50,53
20,2510000,2520000,49,53
20,2520000,2530000,56,53
20,2530000,2540000,56,53
20,2540000,2550000,53,53
20,2550000,2560000,56,53
