chromosome,start,end,coverage,segmented_coverage
19,0,10000,0,0
19,10000,20000,0,0
19,20000,30000,0,0
19,30000,40000,0,0
19,40000,50000,0,0
19,50000,60000,0,0
19,60000,70000,24,27
19,70000,80000,25,27
19,80000,90000,27,27
19,90000,100000,49,27
19,100000,110000,56,27
19,110000,120000,32,27
19,120000,130000,31,27
19,130000,140000,24,27
19,140000,150000,24,27
19,150000,160000,29,27
19,160000,170000,22,27
19,170000,180000,32,27
19,180000,190000,40,27
19,190000,200000,23,27
19,200000,210000,26,27
19,210000,220000,23,27
19,220000,230000,19,27
19,230000,240000,19,27
19,240000,250000,17,27
19,250000,260000,18,27
19,260000,270000,16,12
19,270000,280000,12,12
19,280000,290000,11,12
19,290000,300000,11,12
19,300000,310000,15,12
19,310000,320000,15,12
19,320000,330000,11,12
19,330000,340000,11,12
19,340000,350000,10,12
19,350000,360000,21,12
19,360000,370000,12,12
19,370000,380000,9,12
19,380000,390000,13,12
19,390000,400000,10,12
19,400000,410000,12,12
19,410000,420000,11,12
19,420000,430000,14,12
19,430000,440000,15,12
19,440000,450000,11,12
19,450000,460000,12,12
19,460000,470000,11,12
19,470000,480000,12,12
19,480000,490000,13,12
19,490000,500000,9,11
19,500000,510000,11,11
19,510000,520000,11,11
19,520000,530000,10,11
19,530000,540000,11,11
19,540000,550000,10,11
19,550000,560000,10,11
19,560000,570000,12,11
19,570000,580000,11,11
19,580000,590000,10,11
19,590000,600000,11,11
19,600000,610000,14,11
19,610000,620000,10,11
19,620000,630000,11,11
19,630000,640000,12,11
19,640000,650000,11,11
19,650000,660000,10,11
19,660000,670000,12,11
19,670000,680000,12,11
19,680000,690000,11,11
19,690000,700000,11,11
19,700000,710000,11,11
19,710000,720000,11,11
19,720000,730000,10,11
19,730000,740000,10,11
19,740000,750000,10,11
19,750000,760000,10,11
19,760000,770000,11,11
19,770000,780000,12,11
19,780000,790000,12,11
19,790000,800000,12,11
19,800000,810000,11,11
19,810000,820000,12,11
19,820000,830000,11,11
19,830000,840000,11,11
19,840000,850000,9,11
19,850000,860000,12,11
19,860000,870000,10,11
19,870000,880000,12,11
19,880000,890000,11,11
19,890000,900000,11,11
19,900000,910000,10,11
19,910000,920000,12,11
19,920000,930000,11,11
19,930000,940000,10,11
19,940000,950000,11,11
19,950000,960000,11,11
19,960000,970000,11,11
19,970000,980000,11,11
19,980000,990000,11,11
19,990000,1000000,10,11
19,1000000,1010000,12,11
19,1010000,1020000,12,11
19,1020000,1030000,12,11
19,1030000,1040000,9,11
19,1040000,1050000,9,11
19,1050000,1060000,9,11
19,1060000,1070000,9,11
19,1070000,1080000,11,11
19,1080000,1090000,10,11
19,1090000,1100000,10,11
19,1100000,1110000,11,11
19,1110000,1120000,11,11
19,1120000,1130000,12,11
19,1130000,1140000,10,11
19,1140000,1150000,10,11
19,1150000,1160000,11,11
19,1160000,1170000,11,11
19,1170000,1180000,11,11
19,1180000,1190000,11,11
19,1190000,1200000,9,11
19,1200000,1210000,13,11
19,1210000,1220000,10,11
19,1220000,1230000,12,11
19,1230000,1240000,12,11
19,1240000,1250000,11,11
19,1250000,1260000,11,11
19,1260000,1270000,11,11
19,1270000,1280000,11,11
19,1280000,1290000,11,11
19,1290000,1300000,9,11
19,1300000,1310000,10,11
19,1310000,1320000,12,11
19,1320000,1330000,10,11
19,1330000,1340000,12,11
19,1340000,1350000,11,11
19,1350000,1360000,11,11
19,1360000,1370000,12,11
19,1370000,1380000,11,11
19,1380000,1390000,12,11
19,1390000,1400000,12,11
19,1400000,1410000,12,11
19,1410000,1420000,10,11
19,1420000,1430000,11,11
19,1430000,1440000,11,11
19,1440000,1450000,11,11
19,1450000,1460000,10,11
19,1460000,1470000,14,11
19,1470000,1480000,12,11
19,1480000,1490000,12,11
19,1490000,1500000,10,11
19,1500000,1510000,9,11
19,1510000,1520000,10,11
19,1520000,1530000,10,11
19,1530000,1540000,11,11
19,1540000,1550000,12,11
19,1550000,1560000,12,11
19,1560000,1570000,11,11
19,1570000,1580000,11,11
19,1580000,1590000,10,11
19,1590000,1600000,12,11
19,1600000,1610000,11,11
19,1610000,1620000,12,11
19,1620000,1630000,10,11
19,1630000,1640000,11,11
19,1640000,1650000,10,11
19,1650000,1660000,11,11
19,1660000,1670000,10,11
19,1670000,1680000,10,11
19,1680000,1690000,10,11
19,1690000,1700000,11,11
19,1700000,1710000,11,11
19,1710000,1720000,13,11
19,1720000,1730000,11,11
19,1730000,1740000,10,11
19,1740000,1750000,10,11
19,1750000,1760000,10,11
19,1760000,1770000,9,11
19,1770000,1780000,11,11
19,1780000,1790000,11,11
19,1790000,1800000,11,11
19,1800000,1810000,11,11
19,1810000,1820000,12,11
19,1820000,1830000,11,11
19,1830000,1840000,10,11
19,1840000,1850000,11,11
19,1850000,1860000,11,11
