chromosome,start,end,segmented_coverage
1,0,700000,0
1,700000,750000,2
1,750000,830000,14
1,830000,1380000,42
1,1380000,1430000,0
1,1430000,2630000,34
1,2630000,2680000,0
1,2680000,2700000,16
1,2700000,3710000,42
1,3710000,3850000,30
1,3850000,3990000,0
1,3990000,4240000,28
1,4240000,4350000,17
1,4350000,4590000,25
1,4590000,4650000,17
1,4650000,4860000,30
1,4860000,4930000,13
1,4930000,5080000,18
1,5080000,5300000,13
1,5300000,5700000,22
1,5700000,5890000,30
1,5890000,5950000,43
1,5950000,6050000,28
1,6050000,6580000,42
1,6580000,6710000,36
1,6710000,6850000,24
1,6850000,6960000,16
1,6960000,7240000,26
1,7240000,7390000,19
1,7390000,7480000,26
1,7480000,7760000,37
1,7760000,7910000,17
1,7910000,8070000,22
1,8070000,8180000,18
1,8180000,8370000,25
1,8370000,8440000,34
1,8440000,8590000,17
1,8590000,8750000,13
1,8750000,8900000,18
1,8900000,9300000,30
1,9300000,9480000,37
1,9480000,9590000,31
1,9590000,9650000,22
1,9650000,9800000,36
1,9800000,9890000,26
1,9890000,9980000,34
1,9980000,10130000,24
1,10130000,10200000,18
1,10200000,10320000,22
1,10320000,10420000,15
1,10420000,10450000,23
1,10450000,10530000,29
1,10530000,10580000,24
1,10580000,10670000,19
1,10670000,10850000,42
1,10850000,11050000,35
1,11050000,11140000,29
1,11140000,11330000,19
1,11330000,12290000,34
1,12290000,12560000,16
1,12560000,12600000,28
1,12600000,12690000,35
1,12690000,12720000,27
1,12720000,12950000,13
1,12950000,13770000,0
1,13770000,13880000,22
1,13880000,14300000,17
1,14300000,14740000,13
1,14740000,14780000,19
1,14780000,14910000,15
1,14910000,15040000,19
1,15040000,15230000,24
1,15230000,15490000,34
1,15490000,15730000,26
1,15730000,15780000,39
1,15780000,16050000,25
1,16050000,16100000,46
1,16100000,16190000,29
1,16190000,16260000,18
1,16260000,16310000,32
1,16310000,16570000,40
1,16570000,16680000,20
1,16680000,16840000,30
1,16840000,17060000,25
1,17060000,17130000,2
1,17130000,17180000,0
1,17180000,17230000,10
1,17230000,17340000,41
1,17340000,17830000,30
1,17830000,17880000,34
1,17880000,18030000,40
1,18030000,18070000,32
1,18070000,18950000,25
1,18950000,19420000,32
1,19420000,19550000,16
1,19550000,19730000,31
1,19730000,19960000,21
1,19960000,20030000,35
1,20030000,20150000,26
1,20150000,20400000,17
1,20400000,20540000,27
1,20540000,20600000,18
1,20600000,21010000,28
1,21010000,21060000,41
1,21060000,21140000,17
1,21140000,21450000,13
1,21450000,21490000,16
1,21490000,21540000,22
1,21540000,21700000,34
1,21700000,21810000,14
1,21810000,22000000,36
1,22000000,22090000,16
1,22090000,22140000,27
1,22140000,22290000,39
1,22290000,22440000,19
1,22440000,22750000,31
1,22750000,22850000,16
1,22850000,23250000,34
1,23250000,23310000,24
1,23310000,23490000,16
1,23490000,23600000,26
1,23600000,23690000,16
1,23690000,23980000,29
1,23980000,24260000,24
1,24260000,24360000,0
1,24360000,25600000,23
1,25600000,25660000,0
1,25660000,25840000,13
1,25840000,25920000,35
1,25920000,26920000,27
1,26920000,27100000,20
1,27100000,27150000,24
1,27150000,27500000,31
1,27500000,27620000,21
1,27620000,27660000,30
1,27660000,27730000,44
1,27730000,27830000,21
1,27830000,28000000,39
1,28000000,28180000,19
1,28180000,28300000,28
1,28300000,28410000,14
1,28410000,28710000,24
1,28710000,28830000,18
1,28830000,29010000,29
1,29010000,29100000,22
1,29100000,29240000,31
1,29240000,29430000,15
1,29430000,29510000,24
1,29510000,29880000,27
1,29880000,30020000,0
1,30020000,31100000,22
1,31100000,31390000,34
1,31390000,31510000,14
1,31510000,31730000,27
1,31730000,31830000,16
1,31830000,31920000,29
1,31920000,31970000,13
1,31970000,32120000,27
1,32120000,32260000,43
1,32260000,32640000,22
1,32640000,32850000,32
1,32850000,33160000,21
1,33160000,33240000,39
1,33240000,33850000,24
1,33850000,34690000,18
1,34690000,34730000,11
1,34730000,34870000,14
1,34870000,34950000,18
1,34950000,35040000,13
1,35040000,35190000,19
1,35190000,35400000,27
1,35400000,36020000,16
1,36020000,36390000,21
1,36390000,36540000,15
1,36540000,36660000,37
1,36660000,36770000,22
1,36770000,36860000,37
1,36860000,37620000,26
1,37620000,37700000,14
1,37700000,38610000,26
1,38610000,38640000,15
1,38640000,38740000,25
1,38740000,39360000,18
1,39360000,39570000,24
1,39570000,39990000,16
1,39990000,40160000,28
1,40160000,40360000,21
1,40360000,40450000,28
1,40450000,40760000,16
1,40760000,40810000,26
1,40810000,41090000,16
1,41090000,41140000,31
1,41140000,41230000,17
1,41230000,41310000,38
1,41310000,41360000,28
1,41360000,41530000,22
1,41530000,41720000,12
1,41720000,41780000,20
1,41780000,41820000,26
1,41820000,41900000,40
1,41900000,41940000,28
1,41940000,42000000,43
1,42000000,42220000,27
1,42220000,42370000,20
1,42370000,42590000,14
1,42590000,42640000,27
1,42640000,43180000,15
1,43180000,43260000,27
1,43260000,43390000,17
1,43390000,43420000,37
1,43420000,43540000,27
1,43540000,43680000,17
1,43680000,44000000,26
1,44000000,44090000,46
1,44090000,44180000,24
1,44180000,44320000,17
1,44320000,44360000,22
1,44360000,44500000,36
1,44500000,44680000,20
1,44680000,44730000,33
1,44730000,44960000,19
1,44960000,45050000,25
1,45050000,45320000,32
1,45320000,45350000,21
1,45350000,45940000,17
1,45940000,46050000,26
1,46050000,46630000,17
1,46630000,46860000,26
1,46860000,47030000,40
1,47030000,47090000,26
1,47090000,47290000,16
1,47290000,47640000,9
1,47640000,47710000,31
1,47710000,47780000,16
1,47780000,47850000,20
1,47850000,48220000,25
1,48220000,48290000,35
1,48290000,48540000,22
1,48540000,48720000,15
1,48720000,48880000,11
1,48880000,49250000,15
1,49250000,50640000,11
1,50640000,50910000,18
1,50910000,51080000,12
1,51080000,51220000,15
1,51220000,51380000,13
1,51380000,51760000,16
1,51760000,51810000,35
1,51810000,51990000,13
1,51990000,52090000,18
1,52090000,52340000,14
1,52340000,52610000,18
1,52610000,52760000,14
1,52760000,52870000,21
1,52870000,53000000,14
1,53000000,53060000,18
1,53060000,53220000,23
1,53220000,53300000,16
1,53300000,53410000,21
1,53410000,53520000,15
1,53520000,53600000,39
1,53600000,53730000,21
1,53730000,53880000,33
1,53880000,53930000,18
1,53930000,54180000,33
1,54180000,54570000,18
1,54570000,55340000,29
1,55340000,55440000,17
1,55440000,55540000,31
1,55540000,55670000,12
1,55670000,55870000,16
1,55870000,56870000,12
1,56870000,56980000,17
1,56980000,58850000,12
1,58850000,58940000,16
1,58940000,59010000,11
1,59010000,59540000,15
1,59540000,60530000,12
1,60530000,61120000,10
1,61120000,61370000,12
1,61370000,61400000,19
1,61400000,61490000,15
1,61490000,61550000,18
1,61550000,62050000,12
1,62050000,62290000,16
1,62290000,62590000,13
1,62590000,62910000,21
1,62910000,63750000,13
1,63750000,63860000,19
1,63860000,64120000,12
1,64120000,64260000,17
1,64260000,65300000,13
1,65300000,65790000,17
1,65790000,67550000,11
1,67550000,67820000,13
1,67820000,68200000,16
1,68200000,69030000,13
1,69030000,70620000,10
1,70620000,70960000,14
1,70960000,71530000,11
1,71530000,72770000,9
1,72770000,72820000,0
1,72820000,73310000,10
1,73310000,73510000,8
1,73510000,75180000,10
1,75180000,77870000,11
1,77870000,78600000,14
1,78600000,78980000,11
1,78980000,81800000,10
1,81800000,82270000,12
1,82270000,83600000,10
1,83600000,83950000,2
1,83950000,84720000,11
1,84720000,85170000,13
1,85170000,86110000,14
1,86110000,91960000,12
1,91960000,92350000,15
1,92350000,92430000,19
1,92430000,92560000,14
1,92560000,92860000,12
1,92860000,93000000,16
1,93000000,93190000,11
1,93190000,93970000,15
1,93970000,94030000,10
1,94030000,94250000,20
1,94250000,94440000,13
1,94440000,94590000,22
1,94590000,94990000,13
1,94990000,95610000,16
1,95610000,95750000,13
1,95750000,97530000,11
1,97530000,98510000,10
1,98510000,99970000,11
1,99970000,101020000,13
1,101020000,101630000,11
1,101630000,101940000,14
1,101940000,103790000,9
1,103790000,104000000,0
1,104000000,104180000,4
1,104180000,104300000,0
1,104300000,108300000,10
1,108300000,108750000,13
1,108750000,108780000,2
1,108780000,108850000,0
1,108850000,108930000,5
1,108930000,109010000,0
1,109010000,109490000,14
1,109490000,110580000,21
1,110580000,110790000,32
1,110790000,110890000,19
1,110890000,110970000,16
1,110970000,111180000,25
1,111180000,112260000,14
1,112260000,112620000,21
1,112620000,113230000,15
1,113230000,113440000,24
1,113440000,113840000,17
1,113840000,114240000,11
1,114240000,114440000,15
1,114440000,114520000,16
1,114520000,114720000,21
1,114720000,115100000,15
1,115100000,116660000,14
1,116660000,117140000,16
1,117140000,117200000,11
1,117200000,117510000,19
1,117510000,117760000,15
1,117760000,118080000,12
1,118080000,118230000,22
1,118230000,118390000,14
1,118390000,119520000,11
1,119520000,120530000,14
1,120530000,120700000,1
1,120700000,120750000,0
1,120750000,120940000,1
1,120940000,121100000,0
1,121100000,121130000,2
1,121130000,121360000,8
1,121360000,121380000,1
1,121380000,142530000,0
1,142530000,142590000,3
1,142590000,142680000,14
1,142680000,142730000,1
1,142730000,143110000,0
1,143110000,143300000,4
1,143300000,143900000,0
1,143900000,144100000,2
1,144100000,144520000,0
1,144520000,144630000,2
1,144630000,144810000,0
1,144810000,145120000,21
1,145120000,145380000,2
1,145380000,145750000,29
1,145750000,145840000,2
1,145840000,146470000,0
1,146470000,146490000,6
1,146490000,146960000,17
1,146960000,147400000,22
1,147400000,147430000,2
1,147430000,147700000,0
1,147700000,147730000,1
1,147730000,147860000,10
1,147860000,148840000,0
1,148840000,148960000,8
1,148960000,149010000,0
1,149010000,149300000,15
1,149300000,149420000,2
1,149420000,149840000,0
1,149840000,150120000,25
1,150120000,150460000,32
1,150460000,150590000,42
1,150590000,150820000,23
1,150820000,151380000,38
1,151380000,151770000,30
1,151770000,151840000,50
1,151840000,152540000,22
1,152540000,152590000,0
1,152590000,153310000,22
1,153310000,153990000,39
1,153990000,154240000,28
1,154240000,154580000,40
1,154580000,154680000,26
1,154680000,154800000,40
1,154800000,155300000,51
1,155300000,155900000,28
1,155900000,156920000,49
1,156920000,157190000,31
1,157190000,157930000,21
1,157930000,158120000,35
1,158120000,159140000,17
1,159140000,159190000,31
1,159190000,159750000,17
1,159750000,160190000,38
1,160190000,160320000,26
1,160320000,160400000,40
1,160400000,160740000,20
1,160740000,160860000,29
1,160860000,160910000,22
1,160910000,160960000,33
1,160960000,161210000,44
1,161210000,161410000,30
1,161410000,161520000,14
1,161520000,161640000,4
1,161640000,161740000,25
1,161740000,161940000,18
1,161940000,162000000,39
1,162000000,162320000,22
1,162320000,162370000,35
1,162370000,162680000,22
1,162680000,164450000,16
1,164450000,165080000,20
1,165080000,166150000,23
1,166150000,166790000,17
1,166790000,167020000,22
1,167020000,167100000,32
1,167100000,167200000,23
1,167200000,167400000,19
1,167400000,167710000,32
1,167710000,167950000,23
1,167950000,168050000,18
1,168050000,168150000,32
1,168150000,168290000,25
1,168290000,168330000,15
1,168330000,168420000,26
1,168420000,169210000,18
1,169210000,169260000,8
1,169260000,171350000,17
1,171350000,171820000,23
1,171820000,172020000,19
1,172020000,172380000,16
1,172380000,173790000,19
1,173790000,174200000,29
1,174200000,174340000,19
1,174340000,174620000,15
1,174620000,174980000,19
1,174980000,175170000,27
1,175170000,175620000,21
1,175620000,175740000,27
1,175740000,175830000,21
1,175830000,175870000,32
1,175870000,177780000,18
1,177780000,178060000,23
1,178060000,178450000,18
1,178450000,178520000,43
1,178520000,178740000,24
1,178740000,178900000,17
1,178900000,179090000,30
1,179090000,179710000,22
1,179710000,179810000,36
1,179810000,180120000,21
1,180120000,180250000,47
1,180250000,180470000,18
1,180470000,180640000,23
1,180640000,180860000,18
1,180860000,180940000,49
1,180940000,181070000,26
1,181070000,181190000,37
1,181190000,181280000,20
1,181280000,181460000,30
1,181460000,182560000,22
1,182560000,182660000,32
1,182660000,183170000,21
1,183170000,183310000,31
1,183310000,183580000,23
1,183580000,185170000,19
1,185170000,185280000,15
1,185280000,185670000,18
1,185670000,186230000,15
1,186230000,187200000,18
1,187200000,192660000,15
1,192660000,193410000,19
1,193410000,196720000,16
1,196720000,196820000,4
1,196820000,196920000,11
1,196920000,197470000,17
1,197470000,197700000,14
1,197700000,197740000,17
1,197740000,197790000,23
1,197790000,197840000,15
1,197840000,197900000,26
1,197900000,199790000,16
1,199790000,199860000,19
1,199860000,200030000,26
1,200030000,200160000,19
1,200160000,200740000,24
1,200740000,200840000,19
1,200840000,201710000,45
1,201710000,201850000,26
1,201850000,201970000,37
1,201970000,202220000,49
1,202220000,202350000,32
1,202350000,202540000,11
1,202540000,202990000,30
1,202990000,203650000,37
1,203650000,203760000,31
1,203760000,203990000,25
1,203990000,204250000,43
1,204250000,204910000,33
1,204910000,204960000,43
1,204960000,205050000,55
1,205050000,205190000,25
1,205190000,205670000,41
1,205670000,205930000,27
1,205930000,206070000,0
1,206070000,206190000,1
1,206190000,206340000,25
1,206340000,206480000,0
1,206480000,206580000,2
1,206580000,206610000,20
1,206610000,206690000,44
1,206690000,206760000,38
1,206760000,206830000,27
1,206830000,206920000,37
1,206920000,207070000,25
1,207070000,207200000,33
1,207200000,207700000,20
1,207700000,207750000,0
1,207750000,207970000,19
1,207970000,208070000,34
1,208070000,208130000,24
1,208130000,208430000,34
1,208430000,208490000,23
1,208490000,209220000,18
1,209220000,209720000,21
1,209720000,209850000,32
1,209850000,210070000,24
1,210070000,210380000,18
1,210380000,210590000,26
1,210590000,210790000,20
1,210790000,210980000,24
1,210980000,211040000,14
1,211040000,211130000,20
1,211130000,211180000,14
1,211180000,211650000,22
1,211650000,211910000,34
1,211910000,212020000,21
1,212020000,212110000,29
1,212110000,212290000,20
1,212290000,212460000,28
1,212460000,212550000,20
1,212550000,212700000,36
1,212700000,213090000,28
1,213090000,213160000,38
1,213160000,213550000,20
1,213550000,213600000,36
1,213600000,214150000,20
1,214150000,214810000,23
1,214810000,215880000,17
1,215880000,217070000,15
1,217070000,218430000,17
1,218430000,218600000,23
1,218600000,219760000,17
1,219760000,219810000,11
1,219810000,220070000,17
1,220070000,220310000,23
1,220310000,220420000,17
1,220420000,220670000,21
1,220670000,220850000,18
1,220850000,221070000,28
1,221070000,222650000,18
1,222650000,222700000,5
1,222700000,223170000,19
1,223170000,223740000,26
1,223740000,223790000,0
1,223790000,223960000,32
1,223960000,224080000,22
1,224080000,224230000,3
1,224230000,224960000,27
1,224960000,225580000,19
1,225580000,225670000,35
1,225670000,225840000,22
1,225840000,225990000,31
1,225990000,226170000,46
1,226170000,227180000,34
1,227180000,227420000,17
1,227420000,227510000,21
1,227510000,227770000,26
1,227770000,227910000,20
1,227910000,228700000,46
1,228700000,228780000,11
1,228780000,228870000,22
1,228870000,229580000,30
1,229580000,230200000,25
1,230200000,230300000,35
1,230300000,230380000,27
1,230380000,230540000,39
1,230540000,230830000,22
1,230830000,231050000,33
1,231050000,231130000,20
1,231130000,231320000,27
1,231320000,231360000,45
1,231360000,231480000,28
1,231480000,233110000,21
1,233110000,233160000,33
1,233160000,234230000,20
1,234230000,234830000,26
1,234830000,234930000,37
1,234930000,234980000,10
1,234980000,235190000,35
1,235190000,235240000,0
1,235240000,235270000,42
1,235270000,235330000,31
1,235330000,235460000,21
1,235460000,235740000,28
1,235740000,235820000,43
1,235820000,236020000,19
1,236020000,236080000,26
1,236080000,236340000,36
1,236340000,236440000,19
1,236440000,236710000,29
1,236710000,237180000,23
1,237180000,237430000,20
1,237430000,237980000,16
1,237980000,238100000,20
1,238100000,239940000,16
1,239940000,240310000,22
1,240310000,240640000,19
1,240640000,240930000,23
1,240930000,242070000,19
1,242070000,242200000,34
1,242200000,242420000,19
1,242420000,242530000,7
