chromosome,start,end,coverage,segmented_coverage
1,0,10000,0,15
1,10000,20000,73,15
1,20000,30000,46,15
1,30000,40000,14,15
1,40000,50000,9,15
1,50000,60000,17,15
1,60000,70000,18,15
1,70000,80000,13,15
1,80000,90000,7,15
1,90000,100000,6,15
1,100000,110000,15,15
1,110000,120000,25,15
1,120000,130000,29,15
1,130000,140000,34,15
1,140000,150000,23,15
1,150000,160000,10,15
1,160000,170000,5,15
1,170000,180000,0,0
1,180000,190000,0,0
1,190000,200000,0,0
1,200000,210000,0,0
1,210000,220000,0,0
1,220000,230000,11,30
1,230000,240000,119,30
1,240000,250000,82,30
1,250000,260000,35,30
1,260000,270000,7,30
1,270000,280000,0,0
1,280000,290000,0,0
1,290000,300000,0,0
1,300000,310000,0,0
1,310000,320000,0,0
1,320000,330000,1,2
1,330000,340000,0,2
1,340000,350000,2,2
1,350000,360000,2,2
1,360000,370000,1,2
1,370000,380000,3,2
1,380000,390000,12,2
1,390000,400000,7,2
1,400000,410000,2,2
1,410000,420000,1,2
1,420000,430000,1,2
1,430000,440000,2,2
1,440000,450000,15,2
1,450000,460000,16,2
1,460000,470000,2,2
1,470000,480000,0,0
1,480000,490000,0,0
1,490000,500000,0,0
1,500000,510000,0,0
1,510000,520000,0,0
1,520000,530000,9,21
1,530000,540000,23,21
1,540000,550000,37,21
1,550000,560000,31,21
1,560000,570000,76,21
1,570000,580000,32,21
1,580000,590000,14,21
1,590000,600000,20,21
1,600000,610000,34,21
1,610000,620000,20,21
1,620000,630000,14,21
1,630000,640000,9,21
1,640000,650000,8,21
1,650000,660000,24,21
1,660000,670000,66,45
1,670000,680000,75,45
1,680000,690000,22,45
1,690000,700000,25,45
1,700000,710000,43,45
1,710000,720000,66,45
1,720000,730000,50,45
1,730000,740000,53,63
1,740000,750000,61,63
1,750000,760000,79,63
1,760000,770000,78,63
1,770000,780000,66,63
1,780000,790000,67,63
1,790000,800000,52,63
1,800000,810000,37,63
1,810000,820000,85,63
1,820000,830000,70,63
1,830000,840000,60,63
1,840000,850000,60,63
1,850000,860000,68,63
1,860000,870000,57,55
1,870000,880000,47,55
1,880000,890000,54,55
1,890000,900000,56,55
1,900000,910000,62,55
1,910000,920000,41,55
1,920000,930000,48,55
1,930000,940000,48,55
1,940000,950000,46,55
1,950000,960000,52,55
1,960000,970000,47,55
1,970000,980000,53,55
1,980000,990000,61,55
1,990000,1000000,55,55
1,1000000,1010000,45,55
1,1010000,1020000,52,55
1,1020000,1030000,57,55
1,1030000,1040000,64,55
1,1040000,1050000,55,55
1,1050000,1060000,64,55
1,1060000,1070000,54,55
1,1070000,1080000,43,55
1,1080000,1090000,64,55
1,1090000,1100000,63,55
1,1100000,1110000,52,55
1,1110000,1120000,59,55
