chromosome,start,end,name,strand,type,gene
1,11869,14409,transcribed_unprocessed_pseudogene,+,KNOWN,
1,14404,29570,unprocessed_pseudogene,-,KNOWN,
1,17369,17436,miRNA,-,KNOWN,
1,29554,31109,lincRNA,+,KNOWN,
1,30366,30503,miRNA,+,KNOWN,
1,34554,36081,lincRNA,-,KNOWN,
1,52473,53312,unprocessed_pseudogene,+,KNOWN,
1,62948,63887,unprocessed_pseudogene,+,KNOWN,
1,69091,70008,protein_coding,+,KNOWN,
1,89295,133723,lincRNA,-,KNOWN,
1,89551,91105,lincRNA,-,KNOWN,
1,131025,134836,processed_pseudogene,+,KNOWN,
1,135141,135895,processed_pseudogene,-,KNOWN,
1,137682,137965,processed_pseudogene,-,KNOWN,
1,139790,140339,antisense,-,KNOWN,
1,141474,173862,processed_transcript,-,KNOWN,
1,157784,157887,snRNA,-,KNOWN,
1,160446,161525,lincRNA,+,KNOWN,
1,182393,184158,protein_coding,+,KNOWN,
1,184923,200322,protein_coding,-,KNOWN,
1,187891,187958,miRNA,-,KNOWN,
1,200880,201017,miRNA,+,NOVEL,
1,257864,297502,lincRNA,-,KNOWN,
1,258568,259024,processed_pseudogene,-,KNOWN,
1,347982,348366,processed_pseudogene,-,KNOWN,
1,357383,359681,lincRNA,-,KNOWN,
1,358857,365704,lincRNA,+,KNOWN,
1,365389,501617,lincRNA,-,KNOWN,
1,439870,440232,processed_pseudogene,+,KNOWN,
1,450740,451678,protein_coding,-,KNOWN,
1,485032,485211,transcribed_unprocessed_pseudogene,-,KNOWN,
1,487101,489906,processed_pseudogene,+,KNOWN,
1,491225,493241,unprocessed_pseudogene,-,KNOWN,
1,516376,516479,snRNA,-,NOVEL,
1,585989,588453,lincRNA,-,KNOWN,
1,587629,594768,lincRNA,+,KNOWN,
1,594453,597498,lincRNA,-,KNOWN,
1,601436,724707,lincRNA,-,KNOWN,
1,627377,629010,lincRNA,-,KNOWN,
1,629062,629433,unprocessed_pseudogene,+,KNOWN,
1,629640,630683,unprocessed_pseudogene,+,KNOWN,
1,630896,630958,miRNA,+,NOVEL,
1,631074,632616,unprocessed_pseudogene,+,KNOWN,
1,632325,632413,miRNA,-,KNOWN,
1,632757,633438,unprocessed_pseudogene,+,KNOWN,
1,633535,633741,unprocessed_pseudogene,+,KNOWN,
1,633696,634376,unprocessed_pseudogene,+,KNOWN,
1,634376,634922,unprocessed_pseudogene,+,KNOWN,
