chromosome,start,end,coverage,segmented_coverage
13,0,10000,0,0
13,10000,20000,0,0
13,20000,30000,0,0
13,30000,40000,0,0
13,40000,50000,0,0
13,50000,60000,0,0
13,60000,70000,0,0
13,70000,80000,0,0
13,80000,90000,0,0
13,90000,100000,0,0
13,100000,110000,0,0
13,110000,120000,0,0
13,120000,130000,0,0
13,130000,140000,0,0
13,140000,150000,0,0
13,150000,160000,0,0
13,160000,170000,0,0
13,170000,180000,0,0
13,180000,190000,0,0
13,190000,200000,0,0
13,200000,210000,0,0
13,210000,220000,0,0
13,220000,230000,0,0
13,230000,240000,0,0
13,240000,250000,0,0
13,250000,260000,0,0
13,260000,270000,0,0
13,270000,280000,0,0
13,280000,290000,0,0
13,290000,300000,0,0
13,300000,310000,0,0
13,310000,320000,0,0
13,320000,330000,0,0
13,330000,340000,0,0
13,340000,350000,0,0
13,350000,360000,0,0
13,360000,370000,0,0
13,370000,380000,0,0
13,380000,390000,0,0
13,390000,400000,0,0
13,400000,410000,0,0
13,410000,420000,0,0
13,420000,430000,0,0
13,430000,440000,0,0
13,440000,450000,0,0
13,450000,460000,0,0
13,460000,470000,0,0
13,470000,480000,0,0
13,480000,490000,0,0
13,490000,500000,0,0
13,500000,510000,0,0
13,510000,520000,0,0
13,520000,530000,0,0
13,530000,540000,0,0
13,540000,550000,0,0
13,550000,560000,0,0
13,560000,570000,0,0
13,570000,580000,0,0
13,580000,590000,0,0
13,590000,600000,0,0
13,600000,610000,0,0
13,610000,620000,0,0
13,620000,630000,0,0
13,630000,640000,0,0
13,640000,650000,0,0
13,650000,660000,0,0
13,660000,670000,0,0
13,670000,680000,0,0
13,680000,690000,0,0
13,690000,700000,0,0
13,700000,710000,0,0
13,710000,720000,0,0
13,720000,730000,0,0
13,730000,740000,0,0
13,740000,750000,0,0
13,750000,760000,0,0
13,760000,770000,0,0
13,770000,780000,0,0
13,780000,790000,0,0
13,790000,800000,0,0
13,800000,810000,0,0
13,810000,820000,0,0
13,820000,830000,0,0
13,830000,840000,0,0
13,840000,850000,0,0
13,850000,860000,0,0
13,860000,870000,0,0
13,870000,880000,0,0
13,880000,890000,0,0
13,890000,900000,0,0
13,900000,910000,0,0
13,910000,920000,0,0
13,920000,930000,0,0
13,930000,940000,0,0
13,940000,950000,0,0
13,950000,960000,0,0
13,960000,970000,0,0
13,970000,980000,0,0
13,980000,990000,0,0
13,990000,1000000,0,0
13,1000000,1010000,0,0
13,1010000,1020000,0,0
13,1020000,1030000,0,0
13,1030000,1040000,0,0
13,1040000,1050000,0,0
13,1050000,1060000,0,0
13,1060000,1070000,0,0
13,1070000,1080000,0,0
13,1080000,1090000,0,0
13,1090000,1100000,0,0
13,1100000,1110000,0,0
13,1110000,1120000,0,0
13,1120000,1130000,0,0
13,1130000,1140000,0,0
13,1140000,1150000,0,0
13,1150000,1160000,0,0
13,1160000,1170000,0,0
13,1170000,1180000,0,0
13,1180000,1190000,0,0
13,1190000,1200000,0,0
13,1200000,1210000,0,0
13,1210000,1220000,0,0
13,1220000,1230000,0,0
13,1230000,1240000,0,0
13,1240000,1250000,0,0
13,1250000,1260000,0,0
13,1260000,1270000,0,0
13,1270000,1280000,0,0
13,1280000,1290000,0,0
13,1290000,1300000,0,0
13,1300000,1310000,0,0
13,1310000,1320000,0,0
13,1320000,1330000,0,0
13,1330000,1340000,0,0
13,1340000,1350000,0,0
13,1350000,1360000,0,0
13,1360000,1370000,0,0
13,1370000,1380000,0,0
13,1380000,1390000,0,0
13,1390000,1400000,0,0
13,1400000,1410000,0,0
13,1410000,1420000,0,0
13,1420000,1430000,0,0
13,1430000,1440000,0,0
13,1440000,1450000,0,0
13,1450000,1460000,0,0
13,1460000,1470000,0,0
13,1470000,1480000,0,0
13,1480000,1490000,0,0
13,1490000,1500000,0,0
13,1500000,1510000,0,0
13,1510000,1520000,0,0
13,1520000,1530000,0,0
13,1530000,1540000,0,0
13,1540000,1550000,0,0
13,1550000,1560000,0,0
13,1560000,1570000,0,0
13,1570000,1580000,0,0
13,1580000,1590000,0,0
13,1590000,1600000,0,0
13,1600000,1610000,0,0
13,1610000,1620000,0,0
13,1620000,1630000,0,0
13,1630000,1640000,0,0
