chromosome,start,end,coverage,segmented_coverage
20,0,10000,0,0
20,10000,20000,0,0
20,20000,30000,0,0
20,30000,40000,0,0
20,40000,50000,0,0
20,50000,60000,0,0
20,60000,70000,35,29
20,70000,80000,30,29
20,80000,90000,36,29
20,90000,100000,31,29
20,100000,110000,33,29
20,110000,120000,18,29
20,120000,130000,27,29
20,130000,140000,32,29
20,140000,150000,23,29
20,150000,160000,32,29
20,160000,170000,28,29
20,170000,180000,24,29
20,180000,190000,27,29
20,190000,200000,26,29
20,200000,210000,25,29
20,210000,220000,36,29
20,220000,230000,27,29
20,230000,240000,33,29
20,240000,250000,50,60
20,250000,260000,72,60
20,260000,270000,48,60
20,270000,280000,50,60
20,280000,290000,57,60
20,290000,300000,56,60
20,300000,310000,58,60
20,310000,320000,66,60
20,320000,330000,62,60
20,330000,340000,70,60
20,340000,350000,68,60
20,350000,360000,64,60
20,360000,370000,62,60
20,370000,380000,70,60
20,380000,390000,56,60
20,390000,400000,50,60
20,400000,410000,73,60
20,410000,420000,76,60
20,420000,430000,47,60
20,430000,440000,43,34
20,440000,450000,38,34
20,450000,460000,40,34
20,460000,470000,29,34
20,470000,480000,27,34
20,480000,490000,26,34
20,490000,500000,33,34
20,500000,510000,37,34
20,510000,520000,31,34
20,520000,530000,40,34
20,530000,540000,53,55
20,540000,550000,63,55
20,550000,560000,54,55
20,560000,570000,37,55
20,570000,580000,58,55
20,580000,590000,72,55
20,590000,600000,50,55
20,600000,610000,56,55
20,610000,620000,63,55
20,620000,630000,66,55
20,630000,640000,59,55
20,640000,650000,75,55
20,650000,660000,80,55
20,660000,670000,58,55
20,670000,680000,52,55
20,680000,690000,70,55
20,690000,700000,52,55
20,700000,710000,72,55
20,710000,720000,57,55
20,720000,730000,41,55
20,730000,740000,52,55
20,740000,750000,65,55
20,750000,760000,56,55
20,760000,770000,29,55
20,770000,780000,23,55
20,780000,790000,26,55
20,790000,800000,49,55
20,800000,810000,67,55
20,810000,820000,52,55
20,820000,830000,78,55
20,830000,840000,65,55
20,840000,850000,44,55
20,850000,860000,59,55
20,860000,870000,63,55
20,870000,880000,59,55
20,880000,890000,55,55
20,890000,900000,66,55
20,900000,910000,36,55
20,910000,920000,31,55
20,920000,930000,54,55
20,930000,940000,60,55
20,940000,950000,77,55
20,950000,960000,57,55
20,960000,970000,64,55
20,970000,980000,63,55
20,980000,990000,55,55
20,990000,1000000,54,55
20,1000000,1010000,37,35
20,1010000,1020000,38,35
20,1020000,1030000,53,35
20,1030000,1040000,43,35
20,1040000,1050000,31,35
20,1050000,1060000,30,35
20,1060000,1070000,27,35
20,1070000,1080000,32,35
20,1080000,1090000,36,35
20,1090000,1100000,45,35
20,1100000,1110000,40,35
20,1110000,1120000,38,35
20,1120000,1130000,28,35
20,1130000,1140000,25,35
20,1140000,1150000,41,35
20,1150000,1160000,56,35
20,1160000,1170000,66,35
20,1170000,1180000,45,35
20,1180000,1190000,39,35
20,1190000,1200000,30,35
20,1200000,1210000,30,35
20,1210000,1220000,22,35
20,1220000,1230000,22,35
20,1230000,1240000,23,35
20,1240000,1250000,36,35
20,1250000,1260000,57,61
20,1260000,1270000,45,61
20,1270000,1280000,68,61
20,1280000,1290000,76,61
20,1290000,1300000,62,61
20,1300000,1310000,65,61
20,1310000,1320000,56,61
20,1320000,1330000,32,33
20,1330000,1340000,31,33
20,1340000,1350000,31,33
20,1350000,1360000,30,33
20,1360000,1370000,32,33
20,1370000,1380000,45,33
20,1380000,1390000,32,33
20,1390000,1400000,38,33
20,1400000,1410000,35,33
20,1410000,1420000,30,33
20,1420000,1430000,45,33
20,1430000,1440000,28,33
20,1440000,1450000,35,33
20,1450000,1460000,54,33
20,1460000,1470000,31,33
20,1470000,1480000,31,33
20,1480000,1490000,31,33
20,1490000,1500000,29,33
20,1500000,1510000,31,33
20,1510000,1520000,32,33
20,1520000,1530000,20,33
20,1530000,1540000,25,33
20,1540000,1550000,39,33
20,1550000,1560000,25,0
20,1560000,1570000,3,0
20,1570000,1580000,0,0
20,1580000,1590000,0,0
20,1590000,1600000,11,0
20,1600000,1610000,37,32
20,1610000,1620000,40,32
20,1620000,1630000,40,32
20,1630000,1640000,28,32
20,1640000,1650000,32,32
20,1650000,1660000,30,32
20,1660000,1670000,27,32
20,1670000,1680000,33,32
20,1680000,1690000,30,32
20,1690000,1700000,33,32
20,1700000,1710000,31,32
20,1710000,1720000,37,32
20,1720000,1730000,15,32
20,1730000,1740000,28,32
20,1740000,1750000,24,32
20,1750000,1760000,40,32
20,1760000,1770000,56,32
20,1770000,1780000,28,32
20,1780000,1790000,48,56
20,1790000,1800000,58,56
20,1800000,1810000,52,56
20,1810000,1820000,62,56
20,1820000,1830000,52,56
20,1830000,1840000,37,56
20,1840000,1850000,46,56
20,1850000,1860000,67,56
20,1860000,1870000,66,56
20,1870000,1880000,65,56
20,1880000,1890000,72,56
20,1890000,1900000,50,56
20,1900000,1910000,56,56
20,1910000,1920000,62,56
20,1920000,1930000,58,56
20,1930000,1940000,38,38
20,1940000,1950000,45,38
20,1950000,1960000,32,38
20,1960000,1970000,53,38
20,1970000,1980000,58,38
20,1980000,1990000,34,38
20,1990000,2000000,26,38
20,2000000,2010000,38,38
20,2010000,2020000,30,38
20,2020000,2030000,28,38
20,2030000,2040000,30,38
20,2040000,2050000,24,38
20,2050000,2060000,34,38
20,2060000,2070000,28,38
20,2070000,2080000,36,38
20,2080000,2090000,39,38
20,2090000,2100000,36,38
20,2100000,2110000,37,38
20,2110000,2120000,49,38
20,2120000,2130000,60,38
20,2130000,2140000,39,38
20,2140000,2150000,62,38
20,2150000,2160000,52,38
20,2160000,2170000,29,38
20,2170000,2180000,41,38
20,2180000,2190000,36,38
20,2190000,2200000,36,38
20,2200000,2210000,30,38
20,2210000,2220000,38,38
20,2220000,2230000,42,38
20,2230000,2240000,35,38
20,2240000,2250000,32,38
20,2250000,2260000,24,38
20,2260000,2270000,34,38
20,2270000,2280000,47,38
20,2280000,2290000,45,38
20,2290000,2300000,42,38
20,2300000,2310000,42,38
20,2310000,2320000,48,38
20,2320000,2330000,49,38
20,2330000,2340000,34,38
20,2340000,2350000,29,38
20,2350000,2360000,38,38
20,2360000,2370000,56,38
20,2370000,2380000,57,38
20,2380000,2390000,48,38
20,2390000,2400000,36,38
20,2400000,2410000,27,38
20,2410000,2420000,49,38
20,2420000,2430000,27,38
20,2430000,2440000,37,38
20,2440000,2450000,34,38
20,2450000,2460000,39,38
20,2460000,2470000,32,38
20,2470000,2480000,35,38
20,2480000,2490000,30,38
20,2490000,2500000,41,38
20,2500000,2510000,44,38
20,2510000,2520000,57,38
20,2520000,2530000,31,38
20,2530000,2540000,42,38
20,2540000,2550000,50,38
20,2550000,2560000,32,38
