chromosome,start,end,y_start,height,path_ID,variant_names
3,111274615,138970000,0,10,path_1,27360|3038|27360
3,138970000,140840000,0,10,path_1,27360|3038|27360
3,140840000,141365709,0,10,path_1,27360|3038|27360
3,141365709,142206735,0,10,path_1,27360|3038|27360
3,142206735,150540004,0,10,path_1,27360|3038|27360
3,150540004,151070000,0,10,path_1,27360|3038|27360
3,151070000,151148496,0,10,path_1,27360|3038|27360
3,151148496,151640000,0,10,path_1,27360|3038|27360
3,151640000,152145753,0,10,path_1,27360|3038|27360
3,152145753,152210000,0,10,path_1,27360|3038|27360
3,152210000,152412722,0,10,path_1,27360|3038|27360
3,152412722,155027251,0,10,path_1,27360|3038|27360
3,155027251,156820000,0,10,path_1,27360|3038|27360
3,156820000,158180000,0,10,path_1,27360|3038|27360
3,158180000,162525897,0,10,path_1,27360|3038|27360
3,162525897,162547947,0,10,path_1,27360|3038|27360
3,162547947,165502750,0,10,path_1,27360|3038|27360
3,165502750,165980000,0,10,path_1,27360|3038|27360
3,165980000,169060000,0,10,path_1,27360|3038|27360
3,169060000,169201607,0,10,path_1,27360|3038|27360
3,169201607,172173630,0,10,path_1,27360|3038|27360
3,169201607,172173630,10,10,path_1,27360|3038|27360
3,169060000,169201607,10,10,path_1,27360|3038|27360
3,165980000,169060000,10,10,path_1,27360|3038|27360
3,165502750,165980000,10,10,path_1,27360|3038|27360
3,162547947,165502750,10,10,path_1,27360|3038|27360
3,162525897,162547947,10,10,path_1,27360|3038|27360
3,158180000,162525897,10,10,path_1,27360|3038|27360
3,156820000,158180000,10,10,path_1,27360|3038|27360
3,155027251,156820000,10,10,path_1,27360|3038|27360
3,152412722,155027251,10,10,path_1,27360|3038|27360
3,152210000,152412722,10,10,path_1,27360|3038|27360
3,152145753,152210000,10,10,path_1,27360|3038|27360
3,151640000,152145753,10,10,path_1,27360|3038|27360
3,151148496,151640000,10,10,path_1,27360|3038|27360
3,151070000,151148496,10,10,path_1,27360|3038|27360
3,150540004,151070000,10,10,path_1,27360|3038|27360
3,142206735,150540004,10,10,path_1,27360|3038|27360
3,141365709,142206735,10,10,path_1,27360|3038|27360
3,140840000,141365709,10,10,path_1,27360|3038|27360
3,138970000,140840000,10,10,path_1,27360|3038|27360
3,111274615,138970000,10,10,path_1,27360|3038|27360
4,75480000,91967061,0,10,path_2,excess|excess
4,91967061,104203506,0,10,path_2,excess|excess
4,104203506,105923485,0,10,path_2,excess|excess
4,105923485,120799741,0,10,path_2,excess|excess
4,120799741,132650000,0,10,path_2,excess|excess
4,132650000,167520000,0,10,path_2,excess|excess
4,167520000,170280816,0,10,path_2,excess|excess
4,170280816,170630000,0,10,path_2,excess|excess
4,170630000,170768366,0,10,path_2,excess|excess
4,170768366,179874410,0,10,path_2,excess|excess
4,179874410,181877547,0,10,path_2,excess|excess
4,181877547,186160927,0,10,path_2,excess|excess
4,186160927,190540000,0,10,path_2,excess|excess
4,190540000,190585844,0,10,path_2,excess|excess
4,190585844,190613165,0,10,path_2,excess|excess
4,190613165,190680000,0,10,path_2,excess|excess
4,190680000,190920000,0,10,path_2,excess|excess
4,190920000,191020000,0,10,path_2,excess|excess
4,191020000,191050000,0,10,path_2,excess|excess
12,66451371,70596365,0,13,path_3,27237|19764|27237
12,70596365,98405180,0,13,path_3,27237|19764|27237
12,98405180,98951871,0,13,path_3,27237|19764|27237
12,98951871,99874945,0,13,path_3,27237|19764|27237
12,99874945,106110000,0,13,path_3,27237|19764|27237
12,106110000,108040000,0,13,path_3,27237|19764|27237
12,108040000,109351229,0,13,path_3,27237|19764|27237
12,109351229,114490000,0,13,path_3,27237|19764|27237
12,114490000,116140000,0,13,path_3,27237|19764|27237
12,114490000,116140000,13,13,path_3,27237|19764|27237
12,109351229,114490000,13,13,path_3,27237|19764|27237
12,108040000,109351229,13,13,path_3,27237|19764|27237
12,106110000,108040000,13,13,path_3,27237|19764|27237
12,99874945,106110000,13,13,path_3,27237|19764|27237
12,98951871,99874945,13,13,path_3,27237|19764|27237
12,98405180,98951871,13,13,path_3,27237|19764|27237
12,70596365,98405180,13,13,path_3,27237|19764|27237
12,66451371,70596365,13,13,path_3,27237|19764|27237
4,75480000,91967061,10,39,path_4,excess|excess
4,91967061,104203506,10,39,path_4,excess|excess
4,104203506,105923485,10,39,path_4,excess|excess
4,105923485,120799741,10,39,path_4,excess|excess
4,120799741,132650000,10,39,path_4,excess|excess
4,132650000,167520000,10,39,path_4,excess|excess
4,167520000,170280816,10,39,path_4,excess|excess
14,18990000,20180000,0,13,path_5,excess|excess
14,20180000,21730000,0,13,path_5,excess|excess
14,21730000,38140000,0,13,path_5,excess|excess
14,38140000,38737956,0,13,path_5,excess|excess
14,38737956,39510000,0,13,path_5,excess|excess
14,39510000,45994219,0,13,path_5,excess|excess
14,45994219,50160000,0,13,path_5,excess|excess
14,50160000,50260000,0,13,path_5,excess|excess
14,50260000,51282662,0,13,path_5,excess|excess
14,51282662,52220000,0,13,path_5,excess|excess
14,52220000,52667799,0,13,path_5,excess|excess
14,52667799,53110000,0,13,path_5,excess|excess
14,53110000,57040000,0,13,path_5,excess|excess
14,57040000,57066943,0,13,path_5,excess|excess
14,57066943,57210000,0,13,path_5,excess|excess
14,57210000,57970000,0,13,path_5,excess|excess
14,57970000,58500000,0,13,path_5,excess|excess
14,58500000,58569828,0,13,path_5,excess|excess
14,58569828,64163594,0,13,path_5,excess|excess
14,64163594,64434821,0,13,path_5,excess|excess
14,64434821,68966769,0,13,path_5,excess|excess
14,68966769,76150000,0,13,path_5,excess|excess
14,76150000,77370000,0,13,path_5,excess|excess
14,77370000,79723685,0,13,path_5,excess|excess
14,79723685,81786728,0,13,path_5,excess|excess
14,81786728,84875305,0,13,path_5,excess|excess
14,84875305,85490000,0,13,path_5,excess|excess
14,85490000,92490000,0,13,path_5,excess|excess
14,92490000,93712955,0,13,path_5,excess|excess
14,93712955,99897199,0,13,path_5,excess|excess
14,99897199,99989454,0,13,path_5,excess|excess
14,99989454,100394091,0,13,path_5,excess|excess
14,100394091,104981235,0,13,path_5,excess|excess
14,104981235,106483360,0,13,path_5,excess|excess
14,106483360,106510000,0,13,path_5,excess|excess
2,209575015,234000000,0,30,path_6,excess|excess
2,156528080,209575015,0,30,path_6,excess|excess
2,149790000,156528080,0,30,path_6,excess|excess
1,95423049,103780000,0,38,path_7,excess|excess
1,86020000,95423049,0,38,path_7,excess|excess
1,85970000,86020000,0,38,path_7,excess|excess
1,73840000,85970000,0,38,path_7,excess|excess
1,72811632,73840000,0,38,path_7,excess|excess
1,72750000,72811632,0,38,path_7,excess|excess
1,59097148,72750000,0,38,path_7,excess|excess
1,56060000,59097148,0,38,path_7,excess|excess
1,55050000,56060000,0,38,path_7,excess|excess
1,45963387,55050000,0,38,path_7,excess|excess
1,44059650,45963387,0,38,path_7,excess|excess
1,41230000,44059650,0,38,path_7,excess|excess
1,40494812,41230000,0,38,path_7,excess|excess
1,30020000,40494812,0,38,path_7,excess|excess
2,16330000,32048601,0,20,path_8,excess|excess
2,32048601,33765006,0,20,path_8,excess|excess
2,33765006,33892477,0,20,path_8,excess|excess
2,33892477,37950000,0,20,path_8,excess|excess
2,37950000,38000000,0,20,path_8,excess|excess
2,38000000,42051750,0,20,path_8,excess|excess
2,42051750,64603079,0,20,path_8,excess|excess
2,64603079,78969372,0,20,path_8,excess|excess
2,78969372,87180000,0,20,path_8,excess|excess
2,87180000,87310000,0,20,path_8,excess|excess
2,87310000,87540000,0,20,path_8,excess|excess
