chromosome,start,end,segmented_coverage
1,0,170000,15
1,170000,220000,0
1,220000,270000,30
1,270000,320000,0
1,320000,470000,2
1,470000,520000,0
1,520000,660000,21
1,660000,730000,45
1,730000,860000,63
1,860000,1610000,55
1,1610000,2630000,61
1,2630000,2680000,0
1,2680000,3850000,62
1,3850000,3990000,0
1,3990000,4870000,64
1,4870000,5350000,74
1,5350000,6390000,66
1,6390000,6870000,57
1,6870000,8270000,65
1,8270000,8370000,55
1,8370000,8770000,70
1,8770000,9520000,62
1,9520000,9890000,56
1,9890000,12360000,36
1,12360000,12660000,43
1,12660000,12710000,33
1,12710000,12850000,43
1,12850000,12980000,33
1,12980000,13040000,6
1,13040000,13100000,0
1,13100000,13220000,14
1,13220000,13320000,0
1,13320000,13560000,2
1,13560000,13630000,0
1,13630000,13770000,3
1,13770000,14000000,37
1,14000000,15080000,43
1,15080000,16900000,38
1,16900000,17060000,98
1,17060000,17130000,34
1,17130000,17180000,0
1,17180000,17280000,64
1,17280000,24270000,38
1,24270000,24350000,2
1,24350000,29880000,37
1,29880000,30020000,0
1,30020000,40490000,38
1,40490000,41230000,63
1,41230000,41400000,71
1,41400000,41460000,56
1,41460000,41730000,72
1,41730000,42020000,61
1,42020000,42820000,71
1,42820000,42870000,58
1,42870000,43180000,71
1,43180000,43990000,66
1,43990000,44210000,59
1,44210000,44310000,70
1,44310000,44620000,59
1,44620000,44980000,70
1,44980000,45510000,62
1,45510000,45750000,70
1,45750000,46290000,59
1,46290000,46600000,66
1,46600000,46910000,55
1,46910000,47100000,65
1,47100000,47630000,69
1,47630000,48060000,61
1,48060000,48640000,70
1,48640000,49060000,63
1,49060000,50290000,71
1,50290000,50430000,60
1,50430000,50800000,72
1,50800000,50850000,56
1,50850000,51690000,69
1,51690000,51890000,62
1,51890000,52470000,69
1,52470000,55050000,64
1,55050000,55100000,34
1,55100000,55290000,40
1,55290000,55380000,33
1,55380000,56060000,43
1,56060000,56790000,74
1,56790000,57120000,67
1,57120000,57920000,74
1,57920000,59620000,70
1,59620000,60000000,74
1,60000000,60240000,66
1,60240000,62160000,73
1,62160000,62240000,59
1,62240000,62600000,70
1,62600000,62730000,60
1,62730000,63210000,69
1,63210000,63250000,58
1,63250000,63780000,74
1,63780000,63850000,59
1,63850000,64800000,71
1,64800000,64850000,55
1,64850000,65560000,69
1,65560000,65640000,57
1,65640000,66070000,68
1,66070000,66390000,75
1,66390000,66610000,69
1,66610000,67250000,76
1,67250000,68710000,70
1,68710000,68780000,59
1,68780000,68890000,67
1,68890000,69310000,75
1,69310000,69780000,68
1,69780000,70590000,75
1,70590000,71370000,67
1,71370000,72080000,73
1,72080000,72140000,87
1,72140000,72220000,70
1,72220000,72350000,80
1,72350000,72750000,72
1,72750000,72810000,44
1,72810000,73840000,70
1,73840000,75240000,74
1,75240000,75350000,84
1,75350000,75810000,74
1,75810000,79360000,71
1,79360000,79460000,88
1,79460000,83600000,73
1,83600000,83830000,65
1,83830000,84310000,72
1,84310000,84640000,78
1,84640000,85970000,71
1,85970000,86020000,107
1,86020000,88520000,70
1,88520000,89050000,77
1,89050000,90510000,70
1,90510000,90560000,55
1,90560000,92230000,71
1,92230000,92410000,59
1,92410000,93210000,69
1,93210000,93280000,58
1,93280000,93990000,68
1,93990000,94040000,82
1,94040000,94120000,69
1,94120000,94200000,77
1,94200000,94350000,65
1,94350000,94900000,77
1,94900000,95510000,71
1,95510000,95560000,58
1,95560000,96900000,72
1,96900000,97000000,81
1,97000000,97280000,66
1,97280000,100240000,74
1,100240000,100330000,60
1,100330000,100660000,67
1,100660000,101060000,73
1,101060000,101150000,63
1,101150000,101360000,75
1,101360000,101420000,64
1,101420000,101590000,76
1,101590000,101850000,66
1,101850000,103780000,74
1,103780000,103820000,2
1,103820000,103910000,0
1,103910000,103990000,5
1,103990000,104170000,68
1,104170000,104300000,35
1,104300000,105890000,71
1,105890000,106040000,60
1,106040000,107610000,71
1,107610000,108480000,76
1,108480000,108770000,69
1,108770000,108850000,24
1,108850000,108930000,68
1,108930000,109010000,24
1,109010000,110180000,66
1,110180000,110250000,51
1,110250000,113240000,68
1,113240000,113660000,56
1,113660000,114180000,70
1,114180000,114740000,65
1,114740000,114920000,71
1,114920000,115060000,63
1,115060000,117010000,72
1,117010000,117450000,65
1,117450000,119040000,73
1,119040000,119130000,60
1,119130000,120530000,73
1,120530000,120640000,103
1,120640000,120700000,46
1,120700000,120750000,0
1,120750000,120940000,32
1,120940000,121080000,0
1,121080000,121100000,3
1,121100000,121350000,69
1,121350000,121390000,212
1,121390000,121490000,8
1,121490000,142530000,0
1,142530000,142730000,66
1,142730000,142780000,0
1,142780000,142820000,140
1,142820000,142970000,23
1,142970000,143110000,0
1,143110000,143290000,63
1,143290000,143340000,0
1,143340000,143550000,52
1,143550000,143640000,0
1,143640000,143780000,5
1,143780000,143870000,0
1,143870000,144720000,1
1,144720000,144810000,0
1,144810000,144830000,43
1,144830000,144980000,123
1,144980000,145120000,251
1,145120000,145310000,111
1,145310000,145360000,18
1,145360000,145840000,58
1,145840000,145880000,0
1,145880000,146140000,2
1,146140000,146300000,0
1,146300000,146460000,12
1,146460000,147440000,69
1,147440000,147500000,2
1,147500000,147610000,7
1,147610000,147700000,1
1,147700000,147840000,52
1,147840000,147950000,5
1,147950000,148030000,31
1,148030000,148170000,0
1,148170000,148370000,17
1,148370000,148510000,0
1,148510000,148690000,23
1,148690000,148740000,0
1,148740000,148830000,10
1,148830000,148960000,129
1,148960000,149000000,0
1,149000000,149420000,74
1,149420000,149460000,17
1,149460000,149510000,0
1,149510000,149640000,11
1,149640000,149710000,51
1,149710000,149790000,72
1,149790000,149850000,30
1,149850000,150240000,66
1,150240000,151530000,60
1,151530000,151810000,64
1,151810000,152270000,70
1,152270000,152430000,86
1,152430000,152490000,74
1,152490000,152550000,88
1,152550000,152620000,56
1,152620000,153500000,82
1,153500000,153830000,71
1,153830000,153900000,60
1,153900000,154410000,73
1,154410000,154920000,81
1,154920000,155140000,67
1,155140000,156530000,74
1,156530000,156580000,90
1,156580000,157110000,73
1,157110000,160830000,84
1,160830000,161730000,72
1,161730000,161760000,85
1,161760000,161910000,97
1,161910000,162420000,83
1,162420000,162480000,67
1,162480000,163020000,84
1,163020000,163070000,110
1,163070000,163670000,87
1,163670000,163870000,97
1,163870000,164430000,86
1,164430000,164640000,78
1,164640000,165500000,87
1,165500000,166410000,80
1,166410000,166790000,91
1,166790000,168550000,81
1,168550000,169000000,91
1,169000000,169300000,83
1,169300000,169490000,91
1,169490000,169540000,107
1,169540000,171300000,87
1,171300000,171450000,73
1,171450000,171550000,87
1,171550000,171680000,75
1,171680000,171920000,87
1,171920000,172670000,95
1,172670000,173690000,85
1,173690000,174350000,79
1,174350000,174460000,92
1,174460000,174570000,73
1,174570000,176170000,81
1,176170000,176230000,71
1,176230000,176950000,86
1,176950000,177020000,73
1,177020000,177370000,89
1,177370000,177420000,75
1,177420000,178310000,86
1,178310000,178400000,96
