chromosome,start,end,name,strand,gene
1,3073252,3074322,ENSMUST00000193812.1,+,4933401J01Rik
1,3102015,3102125,ENSMUST00000082908.1,+,Gm26206
1,3214481,3671498,ENSMUST00000070533.4,-,Xkr4
1,3365730,3368549,ENSMUST00000195335.1,-,Gm37180
1,3375555,3377788,ENSMUST00000192336.1,-,Gm37363
1,3464976,3467285,ENSMUST00000194099.1,-,Gm37686
1,3466586,3513553,ENSMUST00000161581.1,+,Gm1992
1,3512450,3514507,ENSMUST00000192973.1,-,Gm37329
1,3592891,3595903,ENSMUST00000195166.1,-,Gm38148
1,3647308,3658904,ENSMUST00000192692.1,-,Gm19938
1,3680154,3681788,ENSMUST00000193244.1,+,Gm10568
1,3752009,3754360,ENSMUST00000194454.1,+,Gm38385
1,3783875,3783933,ENSMUST00000157708.2,-,Gm27396
1,3905738,3986215,ENSMUST00000194643.1,-,Gm37381
1,3984224,3985984,ENSMUST00000192427.1,-,Gm37381
1,4290845,4409241,ENSMUST00000194992.4,-,Rp1
1,4344145,4360314,ENSMUST00000027032.5,-,Rp1
1,4363345,4364829,ENSMUST00000194382.1,-,Gm37483
1,4490930,4496413,ENSMUST00000027035.8,-,Sox17
1,4491249,4496757,ENSMUST00000195555.1,-,Sox17
1,4491389,4497354,ENSMUST00000192650.4,-,Sox17
1,4491712,4496363,ENSMUST00000116652.6,-,Sox17
1,4497473,4499558,ENSMUST00000194935.1,+,Gm37587
1,4529016,4529123,ENSMUST00000180019.1,+,Gm22307
1,4583128,4586252,ENSMUST00000195771.1,-,Gm37323
1,4723276,4723379,ENSMUST00000157375.1,-,Gm25493
1,4773205,4785710,ENSMUST00000130201.6,-,Mrpl15
1,4773210,4785739,ENSMUST00000156816.5,-,Mrpl15
1,4778062,4779212,ENSMUST00000195445.1,-,Gm37144
1,4781220,4785739,ENSMUST00000146665.2,-,Mrpl15
1,4807822,4846739,ENSMUST00000027036.9,+,Lypla1
1,4807829,4841286,ENSMUST00000150971.6,+,Lypla1
1,4807891,4886770,ENSMUST00000155020.1,+,Gm37988
1,4807895,4845174,ENSMUST00000119612.7,+,Lypla1
1,4807910,4845352,ENSMUST00000115529.6,+,Lypla1
1,4857813,4897905,ENSMUST00000081551.12,+,Tcea1
1,4858037,4897909,ENSMUST00000165720.2,+,Tcea1
1,4905750,4906861,ENSMUST00000194052.1,-,Gm37277
1,4909575,5019539,ENSMUST00000002533.13,-,Rgs20
1,4909575,5070285,ENSMUST00000118000.6,-,Rgs20
1,4910401,5018735,ENSMUST00000119256.6,-,Rgs20
1,4938575,4940710,ENSMUST00000194114.1,-,Gm37079
1,4970856,4976820,ENSMUST00000144339.1,+,Gm16041
1,5070017,5162340,ENSMUST00000192847.4,+,Atp6v1h
1,5083079,5162529,ENSMUST00000044369.11,+,Atp6v1h
1,5083153,5162419,ENSMUST00000192698.1,+,Atp6v1h
1,5307738,5310017,ENSMUST00000193241.1,+,Gm37567
1,5403546,5405578,ENSMUST00000194850.1,+,Gm38264
1,5588492,5606131,ENSMUST00000160777.6,+,Oprk1
1,5588556,5602866,ENSMUST00000027038.9,+,Oprk1
1,5588940,5604014,ENSMUST00000160339.1,+,Oprk1
1,5644644,5644745,ENSMUST00000175274.1,-,Gm22463
1,5842873,5844672,ENSMUST00000193807.1,-,Gm37429
1,5913706,5917398,ENSMUST00000044180.4,-,Npbwr1
1,6209865,6215293,ENSMUST00000191825.1,-,4732440D04Rik
1,6213292,6214590,ENSMUST00000159618.1,-,4732440D04Rik
1,6214644,6276648,ENSMUST00000027040.11,+,Rb1cc1
1,6359217,6394731,ENSMUST00000133144.3,+,Fam150a
1,6487230,6860934,ENSMUST00000140079.6,+,St18
1,6487330,6860940,ENSMUST00000131494.6,+,St18
1,6730050,6860940,ENSMUST00000043578.11,+,St18
1,6730100,6859470,ENSMUST00000150761.6,+,St18
1,6730101,6858813,ENSMUST00000151281.6,+,St18
1,6737574,6860940,ENSMUST00000163727.3,+,St18
1,6861236,6864151,ENSMUST00000195780.2,-,Gm37405
1,7088919,7173628,ENSMUST00000061280.15,+,Pcmtd1
1,7148109,7152137,ENSMUST00000194854.1,+,Gm38372
1,7265802,7265932,ENSMUST00000104056.1,+,Gm23274
1,7349405,7397801,ENSMUST00000181554.1,-,Gm26901
1,7375885,7397795,ENSMUST00000193106.4,-,Gm26901
1,7375887,7397869,ENSMUST00000193732.1,-,Gm26901
1,7497967,7518149,ENSMUST00000194886.1,+,Gm30414
1,8361474,9298573,ENSMUST00000132064.6,-,Sntg1
1,8361474,9298864,ENSMUST00000191683.4,-,Sntg1
1,8361474,9299238,ENSMUST00000140295.6,-,Sntg1
1,8363474,8803943,ENSMUST00000115488.2,-,Sntg1
1,8450959,8453491,ENSMUST00000192338.1,-,Gm38024
1,8527779,8531313,ENSMUST00000194602.1,-,Gm38259
1,8588614,8588724,ENSMUST00000103887.2,-,Gm23358
1,8643695,8644859,ENSMUST00000193281.1,-,Gm37005
1,8816137,8816247,ENSMUST00000102181.1,+,Gm24276
1,9191066,9192116,ENSMUST00000193635.1,-,Gm37629
1,9286921,9290180,ENSMUST00000195180.1,+,Gm37143
1,9458669,9458772,ENSMUST00000083691.1,+,Gm24765
1,9545407,9547455,ENSMUST00000072079.8,+,Rrs1
1,9547947,9577970,ENSMUST00000144177.6,+,Adhfe1
1,9560831,9631092,ENSMUST00000115480.6,-,2610203C22Rik
1,9600412,9631144,ENSMUST00000148585.6,-,2610203C22Rik
1,9601198,9627143,ENSMUST00000088666.3,+,3110035E14Rik
1,9639254,9640582,ENSMUST00000191209.1,-,Gm29520
1,9667414,9700209,ENSMUST00000088658.9,-,Mybl1
1,9669536,9700024,ENSMUST00000115468.7,-,Mybl1
1,9718621,9748382,ENSMUST00000057438.6,-,Vcpip1
1,9747647,9791922,ENSMUST00000181821.6,+,1700034P13Rik
1,9747955,9791318,ENSMUST00000181358.6,+,1700034P13Rik
1,9748586,9771095,ENSMUST00000189431.1,+,1700034P13Rik
1,9798106,9900843,ENSMUST00000166384.6,+,Sgk3
1,9798142,9900845,ENSMUST00000168907.6,+,Sgk3
1,9834497,9834602,ENSMUST00000158291.1,-,Gm22607
1,9848271,9900843,ENSMUST00000171265.6,+,Sgk3
1,9848396,9899853,ENSMUST00000097826.5,+,Sgk3
1,9908637,9922525,ENSMUST00000052843.10,+,Mcmdc2
1,9908637,9940954,ENSMUST00000171802.6,+,Mcmdc2
1,9908667,9940452,ENSMUST00000125294.7,+,Mcmdc2
1,9908669,9942085,ENSMUST00000140948.7,+,Mcmdc2
1,9911313,9921266,ENSMUST00000118098.2,+,Mcmdc2
1,9941958,9944118,ENSMUST00000182580.6,-,Snhg6
1,9942022,9943223,ENSMUST00000182819.6,-,Snhg6
1,9942462,9942549,ENSMUST00000175437.1,-,Snord87
1,9960162,9967932,ENSMUST00000185184.1,-,Tcf24
1,9960170,9962809,ENSMUST00000097824.2,-,Tcf24
1,9967313,9968687,ENSMUST00000192299.1,+,E330040D14Rik
1,9968623,10009136,ENSMUST00000027049.8,-,Ppp1r42
1,9982386,9992366,ENSMUST00000134692.1,+,Gm15818
1,10009813,10009917,ENSMUST00000179194.1,-,Gm24674
1,10024600,10038127,ENSMUST00000027050.8,-,Cops5
1,10038216,10136768,ENSMUST00000071087.10,+,Cspp1
1,10038261,10067118,ENSMUST00000117415.6,+,Cspp1
1,10039772,10067976,ENSMUST00000118263.6,+,Cspp1
1,10039772,10068333,ENSMUST00000122156.6,+,Cspp1
1,10039784,10067102,ENSMUST00000119714.6,+,Cspp1
1,10046492,10136145,ENSMUST00000186294.5,+,Cspp1
1,10057024,10057944,ENSMUST00000194474.1,-,1700047N06Rik
1,10137570,10232670,ENSMUST00000088615.9,-,Arfgef1
1,10166538,10166778,ENSMUST00000157528.1,+,Gm26348
1,10173074,10232670,ENSMUST00000131556.1,-,Arfgef1
1,10197080,10198802,ENSMUST00000192111.1,-,Gm37569
1,10324726,10719945,ENSMUST00000035577.6,-,Cpa6
1,10449244,10451989,ENSMUST00000194845.1,-,Gm38005
1,10555553,10555660,ENSMUST00000179958.1,-,Gm25253
1,10782455,10784377,ENSMUST00000192705.1,-,Gm37133
1,10921669,10921760,ENSMUST00000157960.1,+,Gm22963
1,10993464,11303681,ENSMUST00000027056.10,+,Prex2
1,11134110,11134238,ENSMUST00000104130.1,-,Gm24173
1,11363925,11366964,ENSMUST00000193623.1,-,Gm37410
1,11414104,11601811,ENSMUST00000171690.7,+,A830018L16Rik
1,11414104,11975901,ENSMUST00000048613.12,+,A830018L16Rik
1,11414268,11601621,ENSMUST00000135014.6,+,A830018L16Rik
1,11414508,11975397,ENSMUST00000137824.6,+,A830018L16Rik
1,11414508,11975397,ENSMUST00000179089.6,+,A830018L16Rik
1,11416917,11419388,ENSMUST00000194502.1,+,Gm38178
1,11704206,11706350,ENSMUST00000195360.1,+,Gm38069
1,12374935,12375042,ENSMUST00000179834.1,+,Gm22633
1,12425985,12426106,ENSMUST00000183490.1,+,Mir6341
1,12667562,12673090,ENSMUST00000181272.1,+,Gm17644
1,12670323,12671176,ENSMUST00000186962.1,-,Gm29663
1,12692276,12861192,ENSMUST00000177608.6,+,Sulf1
1,12692322,12860371,ENSMUST00000180062.6,+,Sulf1
1,12692531,12852489,ENSMUST00000186051.5,+,Sulf1
1,12718528,12860377,ENSMUST00000088585.8,+,Sulf1
1,12866548,12992650,ENSMUST00000188454.5,-,Slco5a1
1,12866551,12991135,ENSMUST00000115403.7,-,Slco5a1
1,12871347,12991177,ENSMUST00000115402.6,-,Slco5a1
1,12878594,12991135,ENSMUST00000136197.6,-,Slco5a1
1,12879682,12990914,ENSMUST00000146763.6,-,Slco5a1
1,12879682,12990914,ENSMUST00000147606.2,-,Slco5a1
1,13059400,13059951,ENSMUST00000191708.1,-,Gm37162
1,13068837,13078662,ENSMUST00000187394.1,+,Gm29283
1,13113456,13127163,ENSMUST00000047577.6,-,Prdm14
1,13139104,13372439,ENSMUST00000081713.9,-,Ncoa2
