chromosome,start,end,coverage,segmented_coverage
19,0,10000,0,0
19,10000,20000,0,0
19,20000,30000,0,0
19,30000,40000,0,0
19,40000,50000,0,0
19,50000,60000,0,0
19,60000,70000,2,3
19,70000,80000,5,3
19,80000,90000,20,29
19,90000,100000,76,29
19,100000,110000,90,29
19,110000,120000,49,29
19,120000,130000,29,29
19,130000,140000,32,29
19,140000,150000,15,29
19,150000,160000,8,29
19,160000,170000,16,29
19,170000,180000,52,70
19,180000,190000,104,70
19,190000,200000,76,70
19,200000,210000,58,70
19,210000,220000,16,34
19,220000,230000,16,34
19,230000,240000,28,34
19,240000,250000,55,34
19,250000,260000,43,34
19,260000,270000,37,34
19,270000,280000,33,34
19,280000,290000,29,34
19,290000,300000,26,34
19,300000,310000,29,34
19,310000,320000,34,34
19,320000,330000,34,34
19,330000,340000,30,34
19,340000,350000,31,34
19,350000,360000,38,34
19,360000,370000,39,34
19,370000,380000,43,34
19,380000,390000,30,34
19,390000,400000,33,34
19,400000,410000,31,34
19,410000,420000,35,34
19,420000,430000,34,34
19,430000,440000,38,34
19,440000,450000,34,34
19,450000,460000,27,34
19,460000,470000,30,34
19,470000,480000,38,34
19,480000,490000,31,34
19,490000,500000,31,34
19,500000,510000,31,34
19,510000,520000,39,34
19,520000,530000,35,34
19,530000,540000,40,34
19,540000,550000,50,34
19,550000,560000,31,34
19,560000,570000,35,34
19,570000,580000,33,34
19,580000,590000,35,34
19,590000,600000,36,34
19,600000,610000,36,34
19,610000,620000,37,34
19,620000,630000,27,34
19,630000,640000,30,34
19,640000,650000,37,34
19,650000,660000,37,34
19,660000,670000,38,34
19,670000,680000,36,34
19,680000,690000,33,34
19,690000,700000,40,34
19,700000,710000,44,34
19,710000,720000,40,34
19,720000,730000,40,34
19,730000,740000,39,34
19,740000,750000,35,34
19,750000,760000,41,34
19,760000,770000,37,34
19,770000,780000,36,34
19,780000,790000,41,34
19,790000,800000,37,34
19,800000,810000,36,34
19,810000,820000,31,34
19,820000,830000,29,34
19,830000,840000,33,34
19,840000,850000,30,34
19,850000,860000,39,34
19,860000,870000,32,34
19,870000,880000,34,34
19,880000,890000,40,34
19,890000,900000,39,34
19,900000,910000,32,34
19,910000,920000,35,34
19,920000,930000,34,34
19,930000,940000,29,34
19,940000,950000,34,34
19,950000,960000,32,34
19,960000,970000,28,34
19,970000,980000,26,34
19,980000,990000,29,34
19,990000,1000000,38,34
19,1000000,1010000,43,34
19,1010000,1020000,40,34
19,1020000,1030000,36,34
19,1030000,1040000,39,34
19,1040000,1050000,35,34
19,1050000,1060000,32,34
19,1060000,1070000,32,34
19,1070000,1080000,25,34
19,1080000,1090000,38,34
19,1090000,1100000,39,34
19,1100000,1110000,35,34
19,1110000,1120000,36,34
19,1120000,1130000,34,34
19,1130000,1140000,29,34
19,1140000,1150000,38,34
19,1150000,1160000,34,34
19,1160000,1170000,29,34
19,1170000,1180000,35,34
19,1180000,1190000,34,34
19,1190000,1200000,29,34
19,1200000,1210000,30,34
19,1210000,1220000,34,34
19,1220000,1230000,43,34
19,1230000,1240000,38,34
19,1240000,1250000,37,34
19,1250000,1260000,40,34
19,1260000,1270000,34,34
19,1270000,1280000,26,34
19,1280000,1290000,25,34
19,1290000,1300000,36,34
19,1300000,1310000,40,34
19,1310000,1320000,40,34
19,1320000,1330000,41,34
19,1330000,1340000,30,34
19,1340000,1350000,31,34
19,1350000,1360000,38,34
19,1360000,1370000,42,34
19,1370000,1380000,43,34
19,1380000,1390000,33,34
19,1390000,1400000,24,34
19,1400000,1410000,33,34
19,1410000,1420000,41,34
19,1420000,1430000,39,34
19,1430000,1440000,31,34
19,1440000,1450000,35,34
19,1450000,1460000,30,34
19,1460000,1470000,35,34
19,1470000,1480000,36,34
19,1480000,1490000,33,34
19,1490000,1500000,26,34
19,1500000,1510000,34,34
19,1510000,1520000,35,34
19,1520000,1530000,28,34
19,1530000,1540000,38,34
19,1540000,1550000,34,34
19,1550000,1560000,35,34
19,1560000,1570000,33,34
19,1570000,1580000,26,34
19,1580000,1590000,30,34
19,1590000,1600000,38,34
19,1600000,1610000,47,34
19,1610000,1620000,50,34
19,1620000,1630000,42,34
19,1630000,1640000,39,34
19,1640000,1650000,35,34
19,1650000,1660000,40,34
19,1660000,1670000,31,34
19,1670000,1680000,30,34
19,1680000,1690000,40,34
19,1690000,1700000,37,34
19,1700000,1710000,41,34
19,1710000,1720000,35,34
19,1720000,1730000,32,34
19,1730000,1740000,37,34
19,1740000,1750000,27,34
19,1750000,1760000,31,34
19,1760000,1770000,28,34
19,1770000,1780000,30,34
19,1780000,1790000,33,34
19,1790000,1800000,31,34
19,1800000,1810000,31,34
19,1810000,1820000,36,34
19,1820000,1830000,38,34
19,1830000,1840000,30,34
19,1840000,1850000,32,34
19,1850000,1860000,28,34
