chromosome,start,end,name,strand,type,gene
1,3073253,3074322,TEC,+,KNOWN,
1,3102016,3102125,snRNA,+,KNOWN,
1,3205901,3671498,protein_coding,-,KNOWN,
1,3252757,3253236,processed_pseudogene,+,KNOWN,
1,3365731,3368549,TEC,-,KNOWN,
1,3375556,3377788,TEC,-,KNOWN,
1,3464977,3467285,TEC,-,KNOWN,
1,3466587,3513553,antisense,+,KNOWN,
1,3512451,3514507,TEC,-,KNOWN,
1,3531795,3532720,processed_pseudogene,+,KNOWN,
1,3592892,3595903,TEC,-,KNOWN,
1,3647309,3658904,sense_intronic,-,KNOWN,
1,3680155,3681788,TEC,+,KNOWN,
1,3752010,3754360,TEC,+,KNOWN,
1,3783876,3783933,snRNA,-,KNOWN,
1,3905739,3986215,lincRNA,-,KNOWN,
1,3999557,4409241,protein_coding,-,KNOWN,
1,4256234,4260519,processed_pseudogene,-,KNOWN,
1,4292981,4409187,protein_coding,-,KNOWN,
1,4363346,4364829,TEC,-,KNOWN,
1,4490931,4497354,protein_coding,-,KNOWN,
1,4496551,4499558,processed_transcript,+,KNOWN,
1,4522905,4526737,processed_pseudogene,+,KNOWN,
1,4529017,4529123,snRNA,+,KNOWN,
1,4534837,4535286,processed_pseudogene,-,KNOWN,
1,4583129,4586252,lincRNA,-,KNOWN,
1,4610471,4611406,processed_pseudogene,+,KNOWN,
1,4687934,4689403,processed_pseudogene,-,KNOWN,
1,4692219,4693424,processed_pseudogene,-,KNOWN,
1,4723277,4723379,snRNA,-,KNOWN,
1,4735046,4735676,processed_pseudogene,-,KNOWN,
1,4771131,4772199,processed_pseudogene,+,KNOWN,
1,4773206,4785739,protein_coding,-,KNOWN,
1,4778063,4779212,TEC,-,KNOWN,
1,4807788,4848410,protein_coding,+,KNOWN,
1,4807892,4886770,protein_coding,+,KNOWN,
1,4857814,4897909,protein_coding,+,KNOWN,
1,4880049,4880651,processed_pseudogene,-,KNOWN,
1,4905751,4906861,TEC,-,KNOWN,
1,4909576,5070285,protein_coding,-,KNOWN,
1,4927028,4927299,processed_pseudogene,-,KNOWN,
1,4938576,4940710,TEC,-,KNOWN,
1,4970857,4976820,antisense,+,KNOWN,
1,5063060,5064647,processed_pseudogene,+,KNOWN,
1,5070018,5162529,protein_coding,+,KNOWN,
1,5276106,5277337,processed_pseudogene,-,KNOWN,
1,5307739,5310017,TEC,+,KNOWN,
1,5403547,5405578,TEC,+,KNOWN,
1,5588466,5606131,protein_coding,+,KNOWN,
1,5617837,5618230,processed_pseudogene,-,KNOWN,
1,5644645,5644745,miRNA,-,KNOWN,
1,5842874,5844672,TEC,-,KNOWN,
1,5913707,5917398,protein_coding,-,KNOWN,
1,6048963,6050045,processed_pseudogene,-,KNOWN,
1,6206197,6276648,protein_coding,+,KNOWN,
1,6209866,6215293,antisense,-,KNOWN,
1,6359218,6394731,protein_coding,+,KNOWN,
1,6380394,6381032,processed_pseudogene,+,KNOWN,
1,6382634,6383106,processed_pseudogene,-,KNOWN,
1,6429655,6441296,processed_pseudogene,-,KNOWN,
1,6487231,6860940,protein_coding,+,KNOWN,
1,6861237,6864151,TEC,-,KNOWN,
1,6910560,6911222,processed_pseudogene,+,KNOWN,
1,6916559,6923588,processed_pseudogene,+,KNOWN,
1,6929759,6929788,processed_pseudogene,+,KNOWN,
1,6998217,6998541,processed_pseudogene,+,KNOWN,
1,7013762,7013920,processed_pseudogene,+,KNOWN,
1,7035915,7037217,processed_pseudogene,+,KNOWN,
1,7088920,7173628,protein_coding,+,KNOWN,
1,7136199,7136586,processed_pseudogene,-,KNOWN,
1,7148110,7152137,TEC,+,KNOWN,
1,7177739,7179037,processed_pseudogene,+,KNOWN,
1,7189742,7189919,processed_pseudogene,-,KNOWN,
1,7265803,7265932,snoRNA,+,KNOWN,
1,7315451,7316462,processed_pseudogene,+,KNOWN,
1,7349406,7397869,lincRNA,-,KNOWN,
