chromosome,start,end,coverage,segmented_coverage
Y,0,10000,0,0
Y,10000,20000,0,0
Y,20000,30000,0,0
Y,30000,40000,0,0
Y,40000,50000,0,0
Y,50000,60000,0,0
Y,60000,70000,0,0
Y,70000,80000,0,0
Y,80000,90000,0,0
Y,90000,100000,0,0
Y,100000,110000,0,0
Y,110000,120000,0,0
Y,120000,130000,0,0
Y,130000,140000,0,0
Y,140000,150000,0,0
Y,150000,160000,0,0
Y,160000,170000,0,0
Y,170000,180000,0,0
Y,180000,190000,0,0
Y,190000,200000,0,0
Y,200000,210000,0,0
Y,210000,220000,0,0
Y,220000,230000,0,0
Y,230000,240000,0,0
Y,240000,250000,0,0
Y,250000,260000,0,0
Y,260000,270000,0,0
Y,270000,280000,0,0
Y,280000,290000,0,0
Y,290000,300000,0,0
Y,300000,310000,0,0
Y,310000,320000,0,0
Y,320000,330000,0,0
Y,330000,340000,0,0
Y,340000,350000,0,0
Y,350000,360000,0,0
Y,360000,370000,0,0
Y,370000,380000,0,0
Y,380000,390000,0,0
Y,390000,400000,0,0
Y,400000,410000,0,0
Y,410000,420000,0,0
Y,420000,430000,0,0
Y,430000,440000,0,0
Y,440000,450000,0,0
Y,450000,460000,0,0
Y,460000,470000,0,0
Y,470000,480000,0,0
Y,480000,490000,0,0
Y,490000,500000,0,0
Y,500000,510000,0,0
Y,510000,520000,0,0
Y,520000,530000,0,0
Y,530000,540000,0,0
Y,540000,550000,0,0
Y,550000,560000,0,0
Y,560000,570000,0,0
Y,570000,580000,0,0
Y,580000,590000,0,0
Y,590000,600000,0,0
Y,600000,610000,0,0
Y,610000,620000,0,0
Y,620000,630000,0,0
Y,630000,640000,0,0
Y,640000,650000,0,0
Y,650000,660000,0,0
Y,660000,670000,0,0
Y,670000,680000,0,0
Y,680000,690000,0,0
Y,690000,700000,0,0
Y,700000,710000,0,0
Y,710000,720000,0,0
Y,720000,730000,0,0
Y,730000,740000,0,0
Y,740000,750000,0,0
Y,750000,760000,0,0
Y,760000,770000,0,0
Y,770000,780000,0,0
Y,780000,790000,0,0
Y,790000,800000,0,0
Y,800000,810000,0,0
Y,810000,820000,0,0
Y,820000,830000,0,0
Y,830000,840000,0,0
Y,840000,850000,0,0
Y,850000,860000,0,0
Y,860000,870000,0,0
Y,870000,880000,0,0
Y,880000,890000,0,0
Y,890000,900000,0,0
Y,900000,910000,0,0
Y,910000,920000,0,0
Y,920000,930000,0,0
Y,930000,940000,0,0
Y,940000,950000,0,0
Y,950000,960000,0,0
Y,960000,970000,0,0
Y,970000,980000,0,0
Y,980000,990000,0,0
Y,990000,1000000,0,0
Y,1000000,1010000,0,0
Y,1010000,1020000,0,0
Y,1020000,1030000,0,0
Y,1030000,1040000,0,0
Y,1040000,1050000,0,0
Y,1050000,1060000,0,0
Y,1060000,1070000,0,0
Y,1070000,1080000,0,0
Y,1080000,1090000,0,0
Y,1090000,1100000,0,0
Y,1100000,1110000,0,0
Y,1110000,1120000,0,0
Y,1120000,1130000,0,0
Y,1130000,1140000,0,0
Y,1140000,1150000,0,0
Y,1150000,1160000,0,0
Y,1160000,1170000,0,0
Y,1170000,1180000,0,0
Y,1180000,1190000,0,0
Y,1190000,1200000,0,0
Y,1200000,1210000,0,0
Y,1210000,1220000,0,0
Y,1220000,1230000,0,0
Y,1230000,1240000,0,0
Y,1240000,1250000,0,0
Y,1250000,1260000,0,0
Y,1260000,1270000,0,0
Y,1270000,1280000,0,0
Y,1280000,1290000,0,0
Y,1290000,1300000,0,0
Y,1300000,1310000,0,0
