chromosome,start,end,segmented_coverage
1,0,180000,73
1,180000,220000,0
1,220000,270000,59
1,270000,310000,0
1,310000,470000,61
1,470000,520000,0
1,520000,750000,73
1,750000,840000,62
1,840000,1630000,53
1,1630000,1680000,70
1,1680000,1890000,57
1,1890000,2580000,53
1,2580000,2640000,219
1,2640000,2680000,0
1,2680000,3850000,54
1,3850000,3990000,0
1,3990000,8490000,55
1,8490000,8900000,60
1,8900000,9950000,55
1,9950000,10690000,57
1,10690000,11140000,54
1,11140000,11320000,58
1,11320000,12320000,54
1,12320000,12560000,60
1,12560000,12840000,57
1,12840000,12950000,69
1,12950000,13010000,56
1,13010000,13050000,42
1,13050000,13100000,0
1,13100000,13220000,47
1,13220000,13310000,0
1,13310000,13560000,25
1,13560000,13610000,0
1,13610000,13780000,35
1,13780000,16670000,56
1,16670000,16720000,75
1,16720000,16830000,56
1,16830000,16880000,113
1,16880000,16990000,215
1,16990000,17130000,129
1,17130000,17180000,0
1,17180000,17240000,91
1,17240000,18950000,56
1,18950000,19050000,51
1,19050000,19400000,55
1,19400000,20800000,57
1,20800000,21060000,55
1,21060000,21500000,62
1,21500000,24260000,57
1,24260000,24360000,14
1,24360000,24890000,57
1,24890000,24950000,74
1,24950000,26810000,56
1,26810000,26940000,73
1,26940000,28000000,56
1,28000000,28820000,58
1,28820000,29250000,55
1,29250000,29430000,60
1,29430000,29880000,56
1,29880000,30020000,0
1,30020000,40470000,57
1,40470000,41090000,60
1,41090000,41530000,57
1,41530000,41700000,65
1,41700000,42370000,58
1,42370000,43180000,62
1,43180000,45520000,57
1,45520000,45760000,62
1,45760000,46300000,58
1,46300000,46630000,62
1,46630000,47100000,56
1,47100000,47640000,63
1,47640000,48580000,56
1,48580000,48650000,65
1,48650000,48720000,56
1,48720000,48900000,63
1,48900000,49380000,57
1,49380000,50460000,61
1,50460000,50640000,59
1,50640000,50820000,56
1,50820000,50920000,59
1,50920000,51220000,60
1,51220000,51410000,64
1,51410000,51660000,61
1,51660000,51820000,58
1,51820000,52420000,62
1,52420000,54650000,58
1,54650000,55530000,55
1,55530000,55680000,63
1,55680000,56840000,60
1,56840000,57050000,55
1,57050000,57250000,60
1,57250000,58580000,56
1,58580000,61490000,60
1,61490000,61550000,53
1,61550000,62510000,61
1,62510000,62910000,55
1,62910000,63380000,61
1,63380000,64670000,58
1,64670000,65780000,61
1,65780000,66910000,62
1,66910000,68580000,59
1,68580000,68870000,56
1,68870000,71960000,60
1,71960000,72420000,80
1,72420000,72760000,60
1,72760000,72810000,42
1,72810000,76520000,60
1,76520000,76630000,55
1,76630000,78590000,60
1,78590000,80500000,62
1,80500000,81700000,64
1,81700000,83800000,61
1,83800000,83910000,69
1,83910000,84500000,61
1,84500000,84710000,66
1,84710000,85970000,62
1,85970000,86030000,115
1,86030000,87220000,43
1,87220000,88530000,40
1,88530000,91170000,41
1,91170000,91360000,37
1,91360000,91580000,41
1,91580000,91670000,38
1,91670000,91920000,42
1,91920000,92580000,39
1,92580000,92870000,41
1,92870000,92990000,38
1,92990000,93190000,43
1,93190000,93650000,40
1,93650000,94030000,43
1,94030000,94250000,39
1,94250000,94620000,41
1,94620000,94990000,43
1,94990000,95310000,41
1,95310000,95610000,39
1,95610000,95720000,41
1,95720000,95770000,46
1,95770000,96170000,42
1,96170000,96470000,44
1,96470000,96870000,66
1,96870000,99500000,62
1,99500000,101630000,42
1,101630000,101850000,38
1,101850000,102580000,40
1,102580000,103790000,41
1,103790000,103860000,20
1,103860000,103910000,0
1,103910000,104000000,22
1,104000000,106730000,41
1,106730000,107070000,404
1,107070000,107170000,647
1,107170000,107240000,558
1,107240000,107430000,611
1,107430000,107620000,388
1,107620000,107930000,492
1,107930000,108130000,86
1,108130000,108640000,108
1,108640000,108770000,148
1,108770000,108840000,113
1,108840000,108940000,135
1,108940000,109010000,107
1,109010000,110550000,82
1,110550000,111190000,58
1,111190000,112260000,64
1,112260000,112360000,58
1,112360000,112580000,288
1,112580000,113230000,60
1,113230000,113630000,57
1,113630000,113970000,62
1,113970000,114030000,78
1,114030000,114230000,124
1,114230000,114350000,180
1,114350000,114450000,298
1,114450000,114510000,324
1,114510000,114760000,292
1,114760000,114830000,390
1,114830000,115030000,331
1,115030000,115140000,352
1,115140000,115240000,382
1,115240000,115360000,295
1,115360000,115640000,192
1,115640000,116800000,101
1,116800000,116940000,153
1,116940000,117110000,123
1,117110000,117920000,102
1,117920000,118080000,112
1,118080000,118230000,100
1,118230000,118460000,106
1,118460000,119410000,64
1,119410000,119520000,62
1,119520000,119560000,52
1,119560000,120260000,61
1,120260000,120530000,104
1,120530000,120640000,239
1,120640000,120700000,145
1,120700000,120750000,0
1,120750000,120850000,117
1,120850000,120940000,71
1,120940000,121080000,0
1,121080000,121490000,98
1,121490000,142530000,0
1,142530000,142680000,229
1,142680000,142730000,100
1,142730000,142780000,0
1,142780000,142810000,369
1,142810000,142970000,156
1,142970000,143110000,0
1,143110000,143290000,101
1,143290000,143340000,0
1,143340000,143550000,101
1,143550000,143640000,0
1,143640000,143780000,108
1,143780000,143870000,0
1,143870000,144720000,5
1,144720000,144810000,0
1,144810000,144980000,255
1,144980000,145130000,443
1,145130000,145180000,276
1,145180000,145380000,370
1,145380000,145830000,153
1,145830000,145880000,0
1,145880000,145950000,87
1,145950000,146050000,150
1,146050000,146170000,75
1,146170000,146300000,0
1,146300000,146460000,74
1,146460000,147420000,161
1,147420000,147490000,94
1,147490000,147600000,131
1,147600000,147730000,83
1,147730000,147830000,156
1,147830000,148030000,100
1,148030000,148170000,0
1,148170000,148370000,172
1,148370000,148510000,0
