chromosome,start,end,segmented_coverage
1,0,180000,19
1,180000,310000,0
1,310000,470000,16
1,470000,520000,0
1,520000,560000,16
1,560000,830000,24
1,830000,2580000,19
1,2580000,2640000,75
1,2640000,2680000,0
1,2680000,3850000,19
1,3850000,3990000,0
1,3990000,4860000,19
1,4860000,5740000,21
1,5740000,6660000,19
1,6660000,7480000,20
1,7480000,7760000,18
1,7760000,7920000,23
1,7920000,8260000,21
1,8260000,8430000,19
1,8430000,8520000,21
1,8520000,8900000,23
1,8900000,9890000,19
1,9890000,10290000,12
1,10290000,10420000,14
1,10420000,10670000,13
1,10670000,11050000,11
1,11050000,11140000,12
1,11140000,11340000,13
1,11340000,12290000,11
1,12290000,12580000,14
1,12580000,12720000,11
1,12720000,12990000,14
1,12990000,13050000,6
1,13050000,13100000,0
1,13100000,13220000,12
1,13220000,13320000,0
1,13320000,13350000,5
1,13350000,13480000,9
1,13480000,13560000,5
1,13560000,13610000,0
1,13610000,13780000,8
1,13780000,13970000,12
1,13970000,14840000,13
1,14840000,15040000,12
1,15040000,15460000,11
1,15460000,15660000,12
1,15660000,15840000,11
1,15840000,16020000,13
1,16020000,16130000,11
1,16130000,16330000,13
1,16330000,16570000,10
1,16570000,16700000,13
1,16700000,16830000,11
1,16830000,16880000,19
1,16880000,17130000,34
1,17130000,17180000,0
1,17180000,17280000,24
1,17280000,19420000,11
1,19420000,19550000,14
1,19550000,20150000,12
1,20150000,20460000,13
1,20460000,21060000,11
1,21060000,21510000,15
1,21510000,21720000,11
1,21720000,21810000,14
1,21810000,22000000,11
1,22000000,22080000,14
1,22080000,22750000,11
1,22750000,22840000,14
1,22840000,23350000,11
1,23350000,23460000,14
1,23460000,23600000,12
1,23600000,23720000,14
1,23720000,24260000,12
1,24260000,24360000,5
1,24360000,27820000,12
1,27820000,28000000,10
1,28000000,28310000,13
1,28310000,28410000,15
1,28410000,28530000,12
1,28530000,29100000,13
1,29100000,29240000,11
1,29240000,29410000,14
1,29410000,29880000,12
1,29880000,30020000,0
1,30020000,35400000,12
1,35400000,35510000,15
1,35510000,35780000,13
1,35780000,35890000,16
1,35890000,36400000,13
1,36400000,36550000,15
1,36550000,37630000,12
1,37630000,37700000,14
1,37700000,38740000,12
1,38740000,38790000,15
1,38790000,39710000,13
1,39710000,39960000,14
1,39960000,40500000,12
1,40500000,41050000,22
1,41050000,41160000,19
1,41160000,41230000,24
1,41230000,41300000,17
1,41300000,41400000,19
1,41400000,41480000,21
1,41480000,41520000,19
1,41520000,41540000,23
1,41540000,41700000,26
1,41700000,41720000,23
1,41720000,41810000,22
1,41810000,42220000,19
1,42220000,42370000,21
1,42370000,43170000,24
1,43170000,43390000,21
1,43390000,43540000,19
1,43540000,43680000,23
1,43680000,44090000,19
1,44090000,44360000,21
1,44360000,44500000,17
1,44500000,44680000,22
1,44680000,44840000,19
1,44840000,44960000,22
1,44960000,45350000,18
1,45350000,46610000,22
1,46610000,47090000,19
1,47090000,47640000,23
1,47640000,47710000,18
1,47710000,47850000,23
1,47850000,48550000,20
1,48550000,48720000,22
1,48720000,48950000,26
1,48950000,49250000,20
1,49250000,49580000,23
1,49580000,50470000,25
1,50470000,50640000,24
1,50640000,50940000,21
1,50940000,51650000,25
1,51650000,51740000,22
1,51740000,51810000,18
1,51810000,52010000,25
1,52010000,52090000,21
1,52090000,52330000,25
1,52330000,52490000,21
1,52490000,52810000,23
1,52810000,52880000,21
1,52880000,53020000,25
1,53020000,53220000,20
1,53220000,53530000,23
1,53530000,54170000,19
1,54170000,54580000,22
1,54580000,55050000,19
1,55050000,55530000,12
1,55530000,55680000,16
1,55680000,56060000,14
1,56060000,56690000,25
1,56690000,56870000,23
1,56870000,57090000,22
1,57090000,57260000,26
1,57260000,58960000,23
1,58960000,59010000,27
1,59010000,60210000,23
1,60210000,61210000,25
1,61210000,61550000,23
1,61550000,61770000,26
1,61770000,62590000,23
1,62590000,62830000,20
1,62830000,63350000,25
1,63350000,63550000,22
1,63550000,63750000,25
1,63750000,63840000,22
1,63840000,64050000,27
1,64050000,64260000,21
1,64260000,64770000,23
1,64770000,64820000,20
1,64820000,65220000,23
1,65220000,65300000,26
1,65300000,65680000,22
1,65680000,65880000,24
1,65880000,65910000,21
1,65910000,67610000,25
1,67610000,67910000,24
1,67910000,68100000,21
1,68100000,68860000,23
1,68860000,69890000,26
1,69890000,70660000,27
1,70660000,71680000,25
1,71680000,72330000,26
1,72330000,72750000,28
1,72750000,72810000,16
1,72810000,74810000,27
1,74810000,75220000,25
1,75220000,75590000,26
1,75590000,76080000,25
1,76080000,76310000,24
1,76310000,76420000,27
1,76420000,77530000,24
1,77530000,77920000,26
1,77920000,78030000,22
1,78030000,78880000,25
1,78880000,84010000,27
1,84010000,84210000,24
1,84210000,84320000,26
1,84320000,84450000,29
1,84450000,84600000,26
1,84600000,84680000,31
1,84680000,84710000,27
1,84710000,85980000,24
1,85980000,86010000,47
1,86010000,86100000,23
1,86100000,87210000,26
1,87210000,87330000,21
1,87330000,87560000,26
1,87560000,88220000,23
1,88220000,89280000,26
1,89280000,91500000,24
1,91500000,91660000,22
1,91660000,92000000,25
1,92000000,92440000,21
1,92440000,92860000,25
1,92860000,92950000,21
1,92950000,93210000,25
1,93210000,93570000,24
1,93570000,93700000,27
1,93700000,93980000,25
1,93980000,94030000,28
1,94030000,94330000,22
1,94330000,94420000,27
1,94420000,94590000,22
1,94590000,95030000,26
1,95030000,95610000,23
1,95610000,96150000,25
1,96150000,96320000,26
1,96320000,96510000,28
1,96510000,97940000,25
1,97940000,98510000,28
1,98510000,99920000,26
1,99920000,101680000,25
1,101680000,101860000,22
1,101860000,102100000,25
1,102100000,103340000,27
1,103340000,103550000,30
1,103550000,103790000,27
1,103790000,103860000,13
1,103860000,103910000,0
1,103910000,104000000,14
1,104000000,104140000,27
1,104140000,104310000,34
1,104310000,108030000,27
1,108030000,108120000,22
1,108120000,108470000,26
1,108470000,109570000,24
1,109570000,109690000,21
1,109690000,109850000,19
1,109850000,110010000,23
1,110010000,110090000,19
1,110090000,110160000,24
1,110160000,110250000,17
1,110250000,110480000,20
1,110480000,110580000,23
1,110580000,110860000,19
1,110860000,110950000,25
1,110950000,111190000,20
1,111190000,111250000,26
1,111250000,111340000,23
1,111340000,111730000,26
1,111730000,112160000,23
1,112160000,112260000,25
1,112260000,112610000,19
1,112610000,113230000,22
1,113230000,113450000,19
1,113450000,113550000,23
1,113550000,113630000,21
1,113630000,113840000,23
1,113840000,114420000,26
1,114420000,114520000,23
1,114520000,114780000,20
1,114780000,114910000,22
1,114910000,115040000,25
1,115040000,115240000,23
1,115240000,115380000,25
1,115380000,115540000,28
1,115540000,115600000,25
1,115600000,116320000,23
1,116320000,116650000,24
1,116650000,117910000,22
1,117910000,118070000,28
1,118070000,118100000,24
1,118100000,118230000,21
1,118230000,118380000,23
1,118380000,118760000,26
1,118760000,118840000,23
1,118840000,119350000,26
1,119350000,120530000,23
1,120530000,120630000,53
1,120630000,120700000,29
1,120700000,120750000,0
1,120750000,120940000,25
1,120940000,121080000,0
1,121080000,121360000,26
1,121360000,121490000,70
1,121490000,142530000,0
1,142530000,142590000,60
1,142590000,142730000,30
1,142730000,142780000,0
1,142780000,142810000,82
1,142810000,142970000,43
1,142970000,143110000,0
1,143110000,143290000,34
1,143290000,143340000,0
1,143340000,143550000,41
1,143550000,143640000,0
1,143640000,143780000,16
1,143780000,143870000,0
1,143870000,144720000,1
1,144720000,144810000,0
1,144810000,144980000,44
1,144980000,145120000,86
