chromosome,start,end,segmented_coverage
1,0,180000,28
1,180000,220000,0
1,220000,270000,22
1,270000,310000,0
1,310000,470000,21
1,470000,520000,0
1,520000,830000,27
1,830000,1380000,45
1,1380000,1430000,4
1,1430000,1740000,42
1,1740000,1820000,28
1,1820000,2580000,45
1,2580000,2640000,234
1,2640000,2680000,0
1,2680000,3710000,43
1,3710000,3850000,32
1,3850000,3990000,0
1,3990000,4240000,31
1,4240000,4350000,19
1,4350000,4590000,26
1,4590000,4650000,18
1,4650000,4850000,32
1,4850000,5300000,16
1,5300000,5720000,24
1,5720000,5740000,47
1,5740000,5890000,32
1,5890000,5950000,44
1,5950000,6050000,29
1,6050000,6710000,43
1,6710000,6850000,26
1,6850000,6960000,17
1,6960000,7240000,28
1,7240000,7410000,21
1,7410000,7760000,36
1,7760000,7910000,18
1,7910000,8210000,22
1,8210000,8450000,30
1,8450000,8600000,19
1,8600000,8780000,15
1,8780000,8880000,19
1,8880000,9980000,34
1,9980000,10130000,27
1,10130000,10210000,20
1,10210000,10320000,25
1,10320000,10420000,16
1,10420000,10570000,30
1,10570000,10670000,21
1,10670000,11140000,38
1,11140000,11200000,25
1,11200000,11300000,19
1,11300000,11330000,26
1,11330000,11660000,32
1,11660000,12290000,38
1,12290000,12560000,17
1,12560000,12710000,33
1,12710000,12920000,22
1,12920000,12950000,33
1,12950000,13050000,18
1,13050000,13100000,0
1,13100000,13220000,17
1,13220000,13320000,0
1,13320000,13560000,16
1,13560000,13610000,0
1,13610000,13700000,19
1,13700000,13760000,11
1,13760000,13780000,18
1,13780000,13930000,26
1,13930000,14000000,20
1,14000000,14120000,16
1,14120000,14170000,25
1,14170000,14910000,16
1,14910000,15220000,23
1,15220000,15490000,35
1,15490000,15660000,26
1,15660000,15730000,30
1,15730000,15770000,42
1,15770000,15850000,31
1,15850000,15940000,26
1,15940000,16000000,20
1,16000000,16050000,33
1,16050000,16160000,42
1,16160000,16320000,26
1,16320000,16570000,43
1,16570000,16680000,23
1,16680000,16830000,34
1,16830000,16930000,64
1,16930000,16980000,155
1,16980000,17130000,66
1,17130000,17180000,0
1,17180000,17350000,46
1,17350000,17880000,32
1,17880000,18030000,41
1,18030000,18070000,33
1,18070000,18870000,25
1,18870000,19410000,33
1,19410000,19470000,22
1,19470000,19540000,15
1,19540000,19730000,33
1,19730000,19960000,23
1,19960000,20030000,37
1,20030000,20150000,27
1,20150000,20400000,20
1,20400000,20540000,28
1,20540000,20600000,19
1,20600000,20960000,29
1,20960000,21060000,38
1,21060000,21170000,19
1,21170000,21340000,14
1,21340000,21490000,17
1,21490000,21540000,24
1,21540000,21700000,36
1,21700000,21820000,22
1,21820000,21890000,33
1,21890000,22000000,43
1,22000000,22090000,17
1,22090000,22140000,30
1,22140000,22270000,42
1,22270000,22380000,31
1,22380000,22440000,19
1,22440000,22750000,32
1,22750000,22850000,17
1,22850000,23260000,35
1,23260000,23310000,25
1,23310000,23480000,18
1,23480000,23600000,28
1,23600000,23690000,17
1,23690000,24260000,29
1,24260000,24360000,11
1,24360000,24550000,30
1,24550000,25180000,23
1,25180000,25400000,35
1,25400000,25590000,25
1,25590000,25660000,3
1,25660000,25760000,21
1,25760000,25840000,16
1,25840000,26930000,29
1,26930000,27020000,25
1,27020000,27100000,20
1,27100000,27500000,33
1,27500000,27610000,24
1,27610000,27660000,31
1,27660000,27730000,45
1,27730000,27830000,24
1,27830000,28000000,41
1,28000000,28170000,21
1,28170000,28300000,31
1,28300000,28410000,15
1,28410000,28710000,27
1,28710000,28800000,19
1,28800000,29260000,30
1,29260000,29430000,17
1,29430000,29880000,28
1,29880000,30020000,0
1,30020000,31100000,24
1,31100000,31390000,36
1,31390000,31510000,16
1,31510000,31730000,29
1,31730000,31830000,17
1,31830000,31920000,30
1,31920000,32010000,19
1,32010000,32120000,31
1,32120000,32260000,44
1,32260000,32640000,24
1,32640000,32850000,34
1,32850000,33160000,24
1,33160000,33240000,42
1,33240000,33840000,26
1,33840000,34690000,20
1,34690000,34870000,14
1,34870000,34930000,20
1,34930000,35030000,15
1,35030000,35190000,20
1,35190000,35400000,28
1,35400000,36020000,19
1,36020000,36280000,24
1,36280000,36390000,21
1,36390000,36540000,17
