chromosome,start,end,coverage,segmented_coverage
X,0,10000,0,0
X,10000,20000,0,0
X,20000,30000,0,0
X,30000,40000,0,0
X,40000,50000,0,0
X,50000,60000,0,0
X,60000,70000,8,0
X,70000,80000,3,0
X,80000,90000,0,0
X,90000,100000,0,0
X,100000,110000,0,0
X,110000,120000,0,0
X,120000,130000,0,0
X,130000,140000,0,0
X,140000,150000,0,5
X,150000,160000,0,5
X,160000,170000,9,5
X,170000,180000,22,5
X,180000,190000,13,5
X,190000,200000,14,5
X,200000,210000,26,5
X,210000,220000,21,5
X,220000,230000,19,5
X,230000,240000,3,5
X,240000,250000,0,0
X,250000,260000,0,0
X,260000,270000,0,0
X,270000,280000,0,0
X,280000,290000,12,21
X,290000,300000,25,21
X,300000,310000,18,21
X,310000,320000,25,21
X,320000,330000,20,21
X,330000,340000,20,21
X,340000,350000,23,21
X,350000,360000,24,21
X,360000,370000,18,21
X,370000,380000,21,21
X,380000,390000,19,21
X,390000,400000,17,21
X,400000,410000,23,21
X,410000,420000,23,21
X,420000,430000,21,21
X,430000,440000,21,21
X,440000,450000,23,21
X,450000,460000,22,21
X,460000,470000,24,21
X,470000,480000,14,21
X,480000,490000,18,21
X,490000,500000,25,21
X,500000,510000,22,21
X,510000,520000,21,21
X,520000,530000,24,21
X,530000,540000,21,21
X,540000,550000,18,21
X,550000,560000,20,21
X,560000,570000,19,21
X,570000,580000,24,21
X,580000,590000,21,21
X,590000,600000,20,21
X,600000,610000,19,21
X,610000,620000,21,21
X,620000,630000,21,21
X,630000,640000,19,21
X,640000,650000,22,21
X,650000,660000,20,21
X,660000,670000,22,21
X,670000,680000,19,21
X,680000,690000,20,21
X,690000,700000,23,21
X,700000,710000,22,21
X,710000,720000,23,21
X,720000,730000,22,21
X,730000,740000,22,21
X,740000,750000,18,21
X,750000,760000,19,21
X,760000,770000,23,21
X,770000,780000,20,21
X,780000,790000,20,21
X,790000,800000,19,21
X,800000,810000,19,21
X,810000,820000,21,21
X,820000,830000,21,21
X,830000,840000,23,21
X,840000,850000,23,21
X,850000,860000,24,21
X,860000,870000,19,21
X,870000,880000,21,21
X,880000,890000,23,21
X,890000,900000,17,21
X,900000,910000,25,21
X,910000,920000,25,21
X,920000,930000,20,21
X,930000,940000,24,21
X,940000,950000,21,21
X,950000,960000,24,21
X,960000,970000,21,21
X,970000,980000,22,21
X,980000,990000,20,21
X,990000,1000000,19,21
X,1000000,1010000,23,21
X,1010000,1020000,24,21
X,1020000,1030000,23,21
X,1030000,1040000,10,21
X,1040000,1050000,0,0
X,1050000,1060000,0,0
X,1060000,1070000,0,0
X,1070000,1080000,0,0
X,1080000,1090000,0,0
X,1090000,1100000,0,0
X,1100000,1110000,0,0
X,1110000,1120000,1,0
X,1120000,1130000,0,0
X,1130000,1140000,0,0
X,1140000,1150000,0,0
X,1150000,1160000,0,0
X,1160000,1170000,0,0
X,1170000,1180000,0,0
X,1180000,1190000,0,5
X,1190000,1200000,0,5
X,1200000,1210000,3,5
X,1210000,1220000,23,5
X,1220000,1230000,24,5
X,1230000,1240000,22,5
X,1240000,1250000,16,5
X,1250000,1260000,22,5
X,1260000,1270000,11,5
X,1270000,1280000,0,0
X,1280000,1290000,0,0
X,1290000,1300000,0,0
X,1300000,1310000,0,0
X,1310000,1320000,16,21
X,1320000,1330000,22,21
X,1330000,1340000,20,21
X,1340000,1350000,23,21
X,1350000,1360000,17,21
X,1360000,1370000,21,21
X,1370000,1380000,23,21
X,1380000,1390000,23,21
X,1390000,1400000,19,21
X,1400000,1410000,21,21
X,1410000,1420000,17,21
X,1420000,1430000,20,21
X,1430000,1440000,22,21
X,1440000,1450000,21,21
X,1450000,1460000,20,21
X,1460000,1470000,20,21
X,1470000,1480000,24,21
X,1480000,1490000,10,21
X,1490000,1500000,10,21
X,1500000,1510000,23,21
X,1510000,1520000,22,21
X,1520000,1530000,24,21
X,1530000,1540000,23,21
X,1540000,1550000,21,21
X,1550000,1560000,22,21
X,1560000,1570000,25,21
X,1570000,1580000,28,21
X,1580000,1590000,18,21
X,1590000,1600000,21,21
X,1600000,1610000,20,21
X,1610000,1620000,20,21
X,1620000,1630000,22,21
X,1630000,1640000,23,21
X,1640000,1650000,26,21
X,1650000,1660000,22,21
X,1660000,1670000,22,21
X,1670000,1680000,23,21
X,1680000,1690000,24,21
X,1690000,1700000,23,21
X,1700000,1710000,20,21
X,1710000,1720000,23,21
X,1720000,1730000,22,21
X,1730000,1740000,18,21
X,1740000,1750000,22,21
X,1750000,1760000,13,21
X,1760000,1770000,23,21
X,1770000,1780000,23,21
X,1780000,1790000,21,21
X,1790000,1800000,23,21
X,1800000,1810000,20,21
X,1810000,1820000,17,21
X,1820000,1830000,11,21
X,1830000,1840000,20,21
X,1840000,1850000,26,21
X,1850000,1860000,19,21
X,1860000,1870000,24,21
X,1870000,1880000,25,21
X,1880000,1890000,20,21
X,1890000,1900000,24,21
X,1900000,1910000,22,21
X,1910000,1920000,27,21
X,1920000,1930000,25,21
X,1930000,1940000,17,21
X,1940000,1950000,24,21
X,1950000,1960000,21,21
X,1960000,1970000,20,21
X,1970000,1980000,23,21
X,1980000,1990000,22,21
X,1990000,2000000,21,21
X,2000000,2010000,18,21
X,2010000,2020000,22,21
X,2020000,2030000,23,21
X,2030000,2040000,24,21
X,2040000,2050000,22,21
X,2050000,2060000,21,21
X,2060000,2070000,16,21
X,2070000,2080000,0,0
X,2080000,2090000,0,0
X,2090000,2100000,0,0
X,2100000,2110000,0,0
X,2110000,2120000,4,0
X,2120000,2130000,21,22
X,2130000,2140000,19,22
X,2140000,2150000,25,22
X,2150000,2160000,25,22
X,2160000,2170000,23,22
X,2170000,2180000,24,22
X,2180000,2190000,26,22
X,2190000,2200000,11,22
X,2200000,2210000,23,22
X,2210000,2220000,20,22
X,2220000,2230000,23,22
X,2230000,2240000,23,22
X,2240000,2250000,23,22
X,2250000,2260000,24,22
X,2260000,2270000,25,22
X,2270000,2280000,23,22
X,2280000,2290000,23,22
X,2290000,2300000,21,22
X,2300000,2310000,23,22
X,2310000,2320000,23,22
X,2320000,2330000,21,22
X,2330000,2340000,25,22
X,2340000,2350000,24,22
X,2350000,2360000,22,22
X,2360000,2370000,22,22
X,2370000,2380000,23,22
X,2380000,2390000,21,22
X,2390000,2400000,22,22
X,2400000,2410000,18,22
X,2410000,2420000,26,22
X,2420000,2430000,25,22
X,2430000,2440000,21,22
X,2440000,2450000,22,22
X,2450000,2460000,23,22
X,2460000,2470000,23,22
X,2470000,2480000,25,22
X,2480000,2490000,25,22
X,2490000,2500000,22,22
