chromosome,start,end,coverage,segmented_coverage
8,0,10000,0,8
8,10000,20000,1,8
8,20000,30000,12,8
8,30000,40000,27,8
8,40000,50000,32,8
8,50000,60000,17,8
8,60000,70000,10,8
8,70000,80000,6,8
8,80000,90000,5,8
8,90000,100000,3,8
8,100000,110000,4,8
8,110000,120000,13,8
8,120000,130000,8,8
8,130000,140000,14,8
8,140000,150000,19,39
8,150000,160000,44,39
8,160000,170000,56,39
8,170000,180000,36,39
8,180000,190000,41,39
8,190000,200000,40,39
8,200000,210000,37,39
8,210000,220000,47,39
8,220000,230000,44,39
8,230000,240000,38,39
8,240000,250000,39,39
8,250000,260000,41,39
8,260000,270000,44,39
8,270000,280000,40,39
8,280000,290000,38,39
8,290000,300000,40,39
8,300000,310000,45,39
8,310000,320000,39,39
8,320000,330000,46,39
8,330000,340000,38,39
8,340000,350000,36,39
8,350000,360000,49,39
8,360000,370000,45,39
8,370000,380000,43,39
8,380000,390000,46,39
8,390000,400000,50,39
8,400000,410000,43,39
8,410000,420000,39,39
8,420000,430000,44,39
8,430000,440000,45,39
8,440000,450000,38,39
8,450000,460000,38,39
8,460000,470000,33,39
8,470000,480000,40,39
8,480000,490000,47,39
8,490000,500000,37,39
8,500000,510000,28,39
8,510000,520000,39,39
8,520000,530000,49,39
8,530000,540000,40,39
8,540000,550000,42,39
8,550000,560000,39,39
8,560000,570000,46,39
8,570000,580000,49,39
8,580000,590000,30,39
8,590000,600000,18,39
8,600000,610000,31,39
8,610000,620000,40,39
8,620000,630000,44,39
8,630000,640000,50,39
8,640000,650000,48,39
8,650000,660000,38,39
8,660000,670000,45,39
8,670000,680000,49,39
8,680000,690000,36,39
8,690000,700000,40,39
8,700000,710000,44,39
8,710000,720000,41,39
8,720000,730000,32,39
8,730000,740000,41,39
8,740000,750000,40,39
8,750000,760000,28,39
8,760000,770000,40,39
8,770000,780000,51,39
8,780000,790000,54,39
8,790000,800000,54,39
8,800000,810000,39,39
8,810000,820000,40,39
8,820000,830000,39,39
8,830000,840000,37,39
8,840000,850000,28,39
8,850000,860000,28,39
8,860000,870000,38,39
8,870000,880000,51,39
8,880000,890000,35,39
